Prompt,Reference Caption,Category,Subcategory,id,Assessment Point
Display all ways to arrange 3 triangles (▲) and 1 star (★) in a row.,"The valid permutations are: ▲▲▲★, ▲▲★▲, ▲★▲▲, and ★▲▲▲.",Symbolic Mathematical,Combinatorial,13,"Evaluation ensures that each arrangement contains exactly three triangles and one star, all four distinct permutations are shown, the sequence is maintained in horizontal linear form, there are no missing shapes or extra elements, and the correct symbols (▲ for triangles, ★ for star) are used."
Generate all binary numbers of 4 digits with exactly three 1s and one 0.,"The valid permutations are: 0111, 1011, 1101, and 1110.",Symbolic Mathematical,Combinatorial,14,"Evaluation ensures that all four distinct permutations are present, each number contains exactly three '1's and one '0', the '0' appears in each of the four possible positions (first, second, third, fourth), and no duplicate numbers or extra combinations are included."
"Place 3 distinct framed artworks (mountain painting, portrait painting, colorful abstract painting) on a wall with the portrait painting never at the ends.","The valid permutations are: mountain painting - portrait painting - colorful abstract painting, and colorful abstract painting - portrait painting - mountain painting.",Symbolic Mathematical,Combinatorial,15,"Evaluation ensures that the portrait painting is consistently placed in the middle, two distinct permutations are shown with mountain and abstract paintings swapping end positions, there are no arrangements with the portrait painting at the first or last position, and all three artwork types are clearly distinct in each arrangement."
Place 2 identical apples and 2 identical oranges on a circular tray. Rotations are considered the same. Show unique arrangements.,"The valid arrangements are: apple - apple - orange - orange, and apple - orange - apple - orange.",Symbolic Mathematical,Combinatorial,16,"Evaluation ensures that only two distinct circular arrangements are shown, the first arrangement displays clustered identical fruits in the pattern apple-apple-orange-orange, the second arrangement shows an alternating pattern apple-orange-apple-orange, no duplicate rotations of the same pattern are included, and the correct quantity of fruits (2 apples and 2 oranges) is present in each arrangement."
"Arrange three animals (Lion, Elephant, Giraffe) with the Lion not in the middle. List all valid permutations.","The valid permutations are: Lion - Elephant - Giraffe, Lion - Giraffe - Elephant, Elephant - Giraffe - Lion, and Giraffe - Elephant - Lion.",Symbolic Mathematical,Combinatorial,17,"Evaluation ensures that the Lion only appears in the first or last position, all four valid permutations are represented, the Elephant and Giraffe alternate in middle and end positions appropriately, there are no arrangements where the Lion appears in the middle, and each arrangement clearly distinguishes between the three animals."
"Arrange four items (Ball, Book, Carrot, Donut) in a row with Carrot fixed in the second position. List all permutations.","The valid permutations are: Ball - Carrot - Book - Donut, Ball - Carrot - Donut - Book, Book - Carrot - Ball - Donut, Book - Carrot - Donut - Ball, Donut - Carrot - Ball - Book, and Donut - Carrot - Book - Ball.",Symbolic Mathematical,Combinatorial,18,"Evaluation ensures that Carrot consistently appears in the second position, all six valid permutations of the remaining items are shown, no permutations include Carrot in other positions, and Ball, Book, and Donut are correctly rotated through the first, third, and fourth positions."
"Arrange three items (Cup, Mug, Plate) in a row with Mug not in the middle.","The valid permutations are: Cup - Plate - Mug, Mug - Cup - Plate, Mug - Plate - Cup, and Plate - Cup - Mug.",Symbolic Mathematical,Combinatorial,19,"Evaluation ensures that Mug never appears in the second position, all four valid positional combinations are represented, Cup and Plate are correctly placed in the middle position where applicable, and no permutations violate the Mug placement rule."
Display all unique ways to arrange 2 hats and 2 boots in a row.,"The valid permutations are: hat - hat - boot - boot, hat - boot - hat - boot, hat - boot - boot - hat, boot - hat - hat - boot, boot - hat - boot - hat, and boot - boot - hat - hat.",Symbolic Mathematical,Combinatorial,20,"Evaluation ensures that each arrangement includes exactly two hats and two boots, all six distinct visual patterns are represented, no duplicate arrangements are included, and sequence patterns correctly account for the presence of identical items."
"Arrange three vehicles (ambulance, bus, car) in a line where the ambulance is always before the bus.","The valid permutations are: ambulance - bus - car, ambulance - car - bus, and car - ambulance - bus.",Symbolic Mathematical,Combinatorial,21,"Evaluation ensures that the ambulance consistently appears before the bus in all permutations, all three valid ordering combinations are represented, no permutations show the bus before the ambulance, and the car’s position is handled correctly relative to the ambulance-bus pair."
"Arrange four toys (robot, dinosaur, teddy bear, kite) with robot first and kite last.","The valid permutations are: robot - dinosaur - teddy bear - kite, and robot - teddy bear - dinosaur - kite.",Symbolic Mathematical,Combinatorial,22,"Evaluation ensures that the robot is always in the first position and the kite is always in the last, the middle positions are occupied by dinosaur and teddy bear in either order, exactly four toys are included in each permutation, and no invalid sequences appear."
Arrange two stars (★) and one heart (♥) in a row. Show all unique permutations.,"The valid permutations are: ★★♥, ★♥★, and ♥★★.",Symbolic Mathematical,Combinatorial,23,"Evaluation ensures that exactly three distinct arrangements are shown, each permutation contains two stars and one heart, no duplicate permutations are included as identical items are treated as indistinct, sequence lengths are correct with three symbols per arrangement, and all positional variations are accounted for with the stars appearing in different positions."
"Arrange three kites (red kite, blue kite, green kite) in a row with the red kite not in the middle.","The valid permutations are: red kite - blue kite - green kite, red kite - green kite - blue kite, blue kite - green kite - red kite, and green kite - blue kite - red kite.",Symbolic Mathematical,Combinatorial,24,"Evaluation ensures that the red kite appears only in the first or third position, the middle position is always occupied by either the blue or green kite, all four valid permutations are displayed, the red kite is never in the second position, and each arrangement includes exactly three kites."
Arrange 3 pillows and 1 lamp in a row. Show all unique permutations.,"The valid permutations are: pillow - pillow - pillow - lamp, pillow - pillow - lamp - pillow, pillow - lamp - pillow - pillow, and lamp - pillow - pillow - pillow.",Symbolic Mathematical,Combinatorial,25,"Evaluation ensures that exactly four distinct arrangements are shown, each permutation contains three pillows and one lamp, the lamp appears in different positions across the permutations, no duplicate sequences are included (identical pillows are treated as indistinct), and each row contains exactly four items."
Display all ways to place a red marble and a blue marble in a 2x2 grid. Each marble must occupy a separate cell.,"The valid configurations are: (red, blue, _, _), (red, _, blue, _), (red, _, _, blue), (blue, red, _, _), (_, red, blue, _), (_, red, _, blue), (blue, _, red, _), (_, blue, red, _), (_, _, red, blue), (blue, _, _, red), (_, blue, _, red), and (_, _, blue, red).",Symbolic Mathematical,Combinatorial,26,"Evaluation ensures that exactly 12 distinct grid configurations are shown, each configuration contains one red and one blue marble placed in separate cells, empty cells are correctly represented using underscores, there is no overlapping of marbles in any cell, all positional combinations are accounted for, and the 2x2 grid structure is preserved in representation."
"Arrange three vehicles (bike, truck, scooter) in a line where the bike is not in the middle. List all valid permutations.","The valid permutations are: bike - truck - scooter, bike - scooter - truck, truck - bike - scooter, and scooter - bike - truck.",Symbolic Mathematical,Combinatorial,27,"Evaluation ensures that all four valid permutations are present, the bike never appears in the second position, each permutation includes all three distinct vehicles, and no invalid permutations are included."
"Create all 3-item sequences using blocks (wood block, metal block, plastic block) without repeating any block.","The valid permutations are: wood block - metal block - plastic block, wood block - plastic block - metal block, metal block - wood block - plastic block, metal block - plastic block - wood block, plastic block - wood block - metal block, and plastic block - metal block - wood block.",Symbolic Mathematical,Combinatorial,28,"Evaluation ensures that all six possible permutations are present, no block is repeated in any sequence, each permutation maintains the original set of elements, and all object arrangements are ordered correctly."
"Arrange three vehicles (scooter, truck, bicycle) in a row where the scooter is always to the left of the truck. List all valid permutations.","The valid permutations are: (scooter, truck, bicycle), (scooter, bicycle, truck), and (bicycle, scooter, truck).",Symbolic Mathematical,Combinatorial,29,"Evaluation ensures that scooter consistently appears before truck in all permutations, all three valid arrangements are present, no permutations violate the scooter-before-truck constraint, and the position of the bicycle is correctly handled in relation to the scooter and truck."
"Arrange four boxes (medium box, heavy box, light box, fragile box) with the heavy box and light box adjacent. Show all permutations.","The valid permutations are: (medium box, heavy box, light box, fragile box), (medium box, light box, heavy box, fragile box), (fragile box, heavy box, light box, medium box), (fragile box, light box, heavy box, medium box), (heavy box, light box, medium box, fragile box), (light box, heavy box, medium box, fragile box), (heavy box, light box, fragile box, medium box), (light box, heavy box, fragile box, medium box), (medium box, fragile box, heavy box, light box), (medium box, fragile box, light box, heavy box), (fragile box, medium box, heavy box, light box), and (fragile box, medium box, light box, heavy box).",Symbolic Mathematical,Combinatorial,30,"Evaluation ensures that heavy and light boxes always appear consecutively, both heavy-light and light-heavy pairings are included, all 12 valid permutations are shown, adjacent pairs appear in different positions, and medium and fragile boxes are correctly positioned relative to the pair."
Arrange 2 pillows and 2 lamps in a row with no two pillows adjacent. List all valid permutations.,"The valid permutations are: (pillow, lamp, pillow, lamp) and (lamp, pillow, lamp, pillow).",Symbolic Mathematical,Combinatorial,31,"Evaluation ensures that no two pillows appear consecutively in any permutation, each arrangement includes exactly two pillows and two lamps, all valid patterns are included, no invalid patterns contain consecutive pillows, and a correct alternation between objects is maintained."
"Arrange four objects (backpack, chair, umbrella, bowl) with backpack first and bowl last. List all permutations.","The valid permutations are: (backpack, chair, umbrella, bowl) and (backpack, umbrella, chair, bowl).",Symbolic Mathematical,Combinatorial,32,"Evaluation ensures that the backpack is consistently positioned first and the bowl last, the middle positions vary between chair and umbrella, no invalid placements of backpack or bowl occur, and both possible permutations are included."
"Arrange three tools (wrench, hammer, screwdriver) with the hammer not in the middle. List all valid permutations.","The valid permutations are: (wrench, screwdriver, hammer), (hammer, wrench, screwdriver), (hammer, screwdriver, wrench), and (screwdriver, wrench, hammer).",Symbolic Mathematical,Combinatorial,33,"Evaluation ensures that hammer never appears in the second position, hammer is correctly placed first or last, all 4 valid permutations are represented, no invalid sequences include hammer in the middle, and wrench and screwdriver are properly arranged in remaining positions."
"Arrange three items (envelope, laptop, tape) such that envelope and tape are not adjacent. List all valid permutations.","The valid permutations are: (envelope, laptop, tape) and (tape, laptop, envelope).",Symbolic Mathematical,Combinatorial,34,"Evaluation ensures that envelope and tape are always separated by the laptop, no adjacent envelope-tape or tape-envelope pairs exist, both valid permutations are shown, the laptop consistently separates the two restricted items, and no invalid adjacent configurations are present."
"Arrange four items (stool, potted plant, clock, cabinet) with the stool and potted plant adjacent. List all permutations.","The valid permutations are: (stool, potted plant, clock, cabinet), (potted plant, stool, clock, cabinet), (stool, potted plant, cabinet, clock), (potted plant, stool, cabinet, clock), (clock, stool, potted plant, cabinet), (clock, potted plant, stool, cabinet), (cabinet, stool, potted plant, clock), and (cabinet, potted plant, stool, clock).",Symbolic Mathematical,Combinatorial,35,"Evaluation ensures that stool and potted plant appear as a consecutive pair in all permutations, both stool-potted and potted-stool sequences are represented, clock and cabinet are properly positioned around the pair, all 8 valid permutations are shown, no separated stool-potted plant configurations exist, and the stool-potted plant pair is treated as a unit when placed."
"Arrange three electronics (mouse, monitor, keyboard) with the mouse not last. List all permutations.","The valid permutations are: (mouse, monitor, keyboard), (mouse, keyboard, monitor), (monitor, mouse, keyboard), and (keyboard, mouse, monitor).",Symbolic Mathematical,Combinatorial,36,"Evaluation ensures that the mouse never appears in the third position, it is always correctly placed in the first or second position, monitor and keyboard are validly ordered when mouse is fixed, all four valid permutations are included, and no permutations violate the mouse-not-last constraint."
"Arrange four tools (tire, jack, ladder, toolbox) with the ladder in position 3 and tire before jack. List all permutations.","The valid permutations are: (tire, jack, ladder, toolbox), (tire, toolbox, ladder, jack), and (toolbox, tire, ladder, jack).",Symbolic Mathematical,Combinatorial,37,"Evaluation ensures that the ladder is fixed in the third position in all permutations, the tire appears before the jack, all four tools are present in each sequence, the toolbox only appears in positions 1, 2, or 4, and exactly three valid permutations satisfy the conditions."
"Arrange three items (soap, toothbrush, towel) where the toothbrush is not in the middle. List all permutations.","The valid permutations are: (soap, toothbrush, towel), (toothbrush, soap, towel), (towel, toothbrush, soap), and (toothbrush, towel, soap).",Symbolic Mathematical,Combinatorial,38,"Evaluation ensures that the toothbrush never appears in the second position, all three items are present in each permutation, object identities are preserved, invalid permutations like (soap, towel, toothbrush) and (towel, soap, toothbrush) are excluded, and four distinct valid permutations are correctly shown."
Arrange 2 juice boxes and 2 soda cans in a row. Show all unique permutations.,"The valid permutations are: juice box, juice box, soda can, soda can; juice box, soda can, juice box, soda can; juice box, soda can, soda can, juice box; soda can, juice box, juice box, soda can; soda can, juice box, soda can, juice box; and soda can, soda can, juice box, juice box.",Symbolic Mathematical,Combinatorial,39,"Evaluation ensures that each arrangement contains exactly two juice boxes and two soda cans, all six unique permutations are represented, no duplicates are present, item positions match combinatorial expectations, identical items are distinguished by position, and invalid combinations such as three juice boxes are excluded."
"Arrange three bathroom items (plunger, shampoo, toilet paper) with the plunger not in the middle. List all valid permutations.","The valid permutations are: plunger - shampoo - toilet paper, plunger - toilet paper - shampoo, shampoo - toilet paper - plunger, and toilet paper - shampoo - plunger.",Symbolic Mathematical,Combinatorial,40,"Evaluation ensures that the plunger never appears in the second position, all three items are present in each sequence, the plunger is validly placed first or last, invalid middle placements like shampoo-plunger-toilet paper are excluded, and four correct permutations are displayed."
"Arrange four emergency items (fire extinguisher, first aid kit, flashlight, fire alarm) in a row with the flashlight fixed in the second position. List all permutations.","The valid permutations are: fire extinguisher - flashlight - first aid kit - fire alarm, fire extinguisher - flashlight - fire alarm - first aid kit, first aid kit - flashlight - fire extinguisher - fire alarm, first aid kit - flashlight - fire alarm - fire extinguisher, fire alarm - flashlight - fire extinguisher - first aid kit, and fire alarm - flashlight - first aid kit - fire extinguisher.",Symbolic Mathematical,Combinatorial,41,"Evaluation ensures that the flashlight is always in the second position, all six valid permutations are present and unique, there are no duplicates or missing cases, and the relative positioning of other emergency items is handled correctly."
"Arrange three cleaning tools (sponge, spray bottle, duster) in a row with the spray bottle not in the middle.","The valid permutations are: sponge - duster - spray bottle, spray bottle - sponge - duster, spray bottle - duster - sponge, and duster - sponge - spray bottle.",Symbolic Mathematical,Combinatorial,42,"Evaluation ensures that the spray bottle never appears in the middle (second) position, all four valid permutations are correctly represented, the first and third positions are used for the spray bottle, and no arrangement violates the given positional constraint."
Display all unique ways to arrange 2 juice cartons and 2 power plugs in a row.,"The valid permutations are: juice carton - juice carton - power plug - power plug, juice carton - power plug - juice carton - power plug, juice carton - power plug - power plug - juice carton, power plug - juice carton - juice carton - power plug, power plug - juice carton - power plug - juice carton, and power plug - power plug - juice carton - juice carton.",Symbolic Mathematical,Combinatorial,43,"Evaluation ensures that each arrangement includes exactly two juice cartons and two power plugs, all six distinct permutations are clearly shown, no duplicates or omissions are present, and sequence logic properly distinguishes repeated items through positioning."
"Arrange three sewing items (needle, thread spool, thimble) in a line where the needle is always before the thread spool.","The valid permutations are: needle - thread spool - thimble, needle - thimble - thread spool, and thimble - needle - thread spool.",Symbolic Mathematical,Combinatorial,44,"Evaluation ensures that the needle consistently appears before the thread spool in all permutations, all three valid combinations are clearly represented, no permutation violates the ordering constraint, and the relative sequence of other items is correctly preserved."
"Arrange four storage containers (small box, basket, cooler, bin) with the small box first and the bin last.","The valid permutations are: small box - basket - cooler - bin, and small box - cooler - basket - bin.",Symbolic Mathematical,Combinatorial,45,"Evaluation ensures that the small box always appears in the first position and the bin always in the last, both valid permutations are clearly displayed, the middle elements (basket and cooler) are varied correctly, and no arrangements violate the endpoint constraints."
"Visualize all possible on/off states for 3 light switches (Switch 1, Switch 2, Switch 3). Each switch can be either ON (◼) or OFF (◻).","The 8 valid combinations are: (◼,◼,◼), (◼,◼,◻), (◼,◻,◼), (◼,◻,◻), (◻,◼,◼), (◻,◼,◻), (◻,◻,◼), and (◻,◻,◻), displayed in a structured grid layout.",Symbolic Mathematical,Combinatorial,46,"Evaluation ensures that all 8 switch state combinations are clearly visible, a consistent visual coding is applied (◼ = ON, ◻ = OFF), the grid layout shows a logical progression, switch positions from 1 to 3 are consistent across all rows, and no state is missing or duplicated."
"Show all ways to line up 4 instruments (guitar, violin, drum, flute) where guitar and violin are adjacent.","The valid permutations are: (guitar, violin, drum, flute), (violin, guitar, drum, flute), (guitar, violin, flute, drum), (violin, guitar, flute, drum), (drum, guitar, violin, flute), (drum, violin, guitar, flute), (flute, guitar, violin, drum), (flute, violin, guitar, drum), (guitar, drum, violin, flute), (violin, drum, guitar, flute), (guitar, flute, violin, drum), and (violin, flute, guitar, drum).",Symbolic Mathematical,Combinatorial,47,"Evaluation ensures that the guitar and violin appear adjacent in all permutations, both guitar-violin and violin-guitar orders are represented, all 12 valid permutations are included, drum and flute are correctly varied in placement, and instrument identities remain distinct and consistent."
"Display all permutations of two distinct objects (remote control, lightbulb) placed side-by-side on a table.","The valid permutations are: (remote control, lightbulb) and (lightbulb, remote control).",Symbolic Mathematical,Combinatorial,48,"Evaluation ensures that both permutations are clearly separated, left-right orientation is preserved (remote-lightbulb vs lightbulb-remote), the objects are visually and functionally distinguishable, horizontal layout is consistent with equal spacing, and no additional or missing permutations are present."
"Arrange three tools (hammer, wrench, tape measure) at the vertices of an equilateral triangle. Show all possible configurations.","The valid configurations are: (hammer top, wrench left, tape measure right), (hammer top, tape measure left, wrench right), (wrench top, hammer left, tape measure right), (wrench top, tape measure left, hammer right), (tape measure top, hammer left, wrench right), and (tape measure top, wrench left, hammer right).",Symbolic Mathematical,Combinatorial,49,"Evaluation ensures that exactly 6 triangular configurations are presented, all arrangements reflect equilateral triangle symmetry, each vertex is occupied by one tool per configuration, all permutations of the three tools are covered without duplication, and top/left/right positions are consistently maintained."
"Show all unique pairs of three desserts (cupcake, macaron, tart) placed on a plate, where order doesn’t matter.","The valid combinations are: {cupcake + macaron}, {cupcake + tart}, and {macaron + tart}, with each pair shown only once.",Symbolic Mathematical,Combinatorial,50,"Evaluation ensures that exactly 3 distinct dessert pairs are shown, pairs are represented without considering order, all pairs are visually distinct, there are no duplicates, and the result includes all C(3,2) combinations possible from the three desserts."
"Depict all unique pairs of four planets (Mars, Venus, Earth, Mercury) orbiting a star, where order doesn’t matter.","The valid combinations are: {Mars + Venus}, {Mars + Earth}, {Mars + Mercury}, {Venus + Earth}, {Venus + Mercury}, and {Earth + Mercury}.",Symbolic Mathematical,Combinatorial,51,"Evaluation ensures that all 6 planetary pairs are clearly visible, each pair has equal orbital prominence, planet labels and visual identifiers are clear, no order is implied within each pair, and invalid combinations (such as triplets) are absent."
"Show all 24 permutations of four distinct playing cards (Ace, King, Queen, Jack) arranged horizontally.","The valid permutations include all 24 horizontal sequences, ranging from (Ace, King, Queen, Jack) to (Jack, Queen, King, Ace), representing every possible order variation.",Symbolic Mathematical,Combinatorial,52,"Evaluation ensures that exactly 24 distinct horizontal sequences are shown, all four cards are present in every permutation, a clear left-to-right ordering is maintained, no duplicate permutations exist, and positional variation is accurate—for example, the Ace appears in all four possible positions across different sequences."
"Display all unique unordered pairs using three beverage containers (water bottle, coffee mug, juice box). Show the 3 combinations.","The valid combinations are: {water bottle, coffee mug}, {water bottle, juice box}, and {coffee mug, juice box}.",Symbolic Mathematical,Combinatorial,53,"Evaluation ensures that exactly 3 distinct pairs are shown, each pair is treated as an unordered set with no implied direction, every pair consists of two different beverage containers, reversed versions are excluded, and all object names are distinct and easy to identify."
"Arrange two ride-on toys (scooter, tricycle) vertically. Show all possible orderings.",The valid arrangements are: (scooter above tricycle) and (tricycle above scooter).,Symbolic Mathematical,Combinatorial,54,"Evaluation ensures that exactly two vertical arrangements are presented, both possible permutations are shown—scooter over tricycle and tricycle over scooter, horizontal or diagonal arrangements are excluded, vertical alignment is clearly indicated with one toy above the other, and both toys are clearly named and visually distinguishable."
"Generate all combinations of:
- Materials: wood / metal
- Styles: modern / vintage
- Furniture Types: chair / table
Show all 8 possible configurations.","The valid combinations are: wood modern chair, wood modern table, wood vintage chair, wood vintage table, metal modern chair, metal modern table, metal vintage chair, and metal vintage table.",Symbolic Mathematical,Combinatorial,55,"Evaluation ensures that all 8 configurations formed by 2 materials × 2 styles × 2 furniture types are fully included, each furniture piece is uniquely identified by its material, style, and type, there are no missing or duplicate entries, each description clearly reflects all three attributes, and every item is distinguishable by function and appearance."
"Display all ways to arrange four sports items (basketball, tennis racket, helmet, whistle) in a line.","The 24 permutations include all possible orderings of the four items: ""basketball - tennis racket - helmet - whistle"", ""basketball - tennis racket - whistle - helmet"", ""basketball - helmet - tennis racket - whistle"", ""basketball - helmet - whistle - tennis racket"", ""basketball - whistle - tennis racket - helmet"", ""basketball - whistle - helmet - tennis racket"", ""tennis racket - basketball - helmet - whistle"", ""tennis racket - basketball - whistle - helmet"", ""tennis racket - helmet - basketball - whistle"", ""tennis racket - helmet - whistle - basketball"", ""tennis racket - whistle - basketball - helmet"", ""tennis racket - whistle - helmet - basketball"", ""helmet - basketball - tennis racket - whistle"", ""helmet - basketball - whistle - tennis racket"", ""helmet - tennis racket - basketball - whistle"", ""helmet - tennis racket - whistle - basketball"", ""helmet - whistle - basketball - tennis racket"", ""helmet - whistle - tennis racket - basketball"", ""whistle - basketball - tennis racket - helmet"", ""whistle - basketball - helmet - tennis racket"", ""whistle - tennis racket - basketball - helmet"", ""whistle - tennis racket - helmet - basketball"", ""whistle - helmet - basketball - tennis racket"", and ""whistle - helmet - tennis racket - basketball"".",Symbolic Mathematical,Combinatorial,56,All 24 permutations are shown. Each sports item appears in every possible position across the list. No duplicate or missing sequences are included. A consistent left-to-right formatting is used throughout. Item names are clear and easily distinguishable in all arrangements.
"Depict all possible 3-item groups selected from tent, sleeping bag, lantern, backpack (order unimportant).","The 4 possible combinations are: {tent, sleeping bag, lantern}, {tent, sleeping bag, backpack}, {tent, lantern, backpack}, and {sleeping bag, lantern, backpack}, with no concern for order within each group.",Symbolic Mathematical,Combinatorial,57,"Exactly 4 unique groups are shown. Each group contains 3 out of the 4 distinct camping items. There are no repeated items within any group. No duplicate combinations are included, meaning unordered sets are not reversed or repeated. Equal emphasis is placed on all items within each group."
"Display all distinct circular arrangements of 3 flowers (rose, tulip, daisy) around a vase (rotations are equivalent).","There are exactly two distinct circular arrangements that avoid duplication by rotation: (1) Rose followed clockwise by Tulip and then Daisy, and (2) Rose followed clockwise by Daisy and then Tulip.",Symbolic Mathematical,Combinatorial,58,"Exactly two distinct circular arrangements are represented. Rotational equivalents are not duplicated. The clockwise sequence orientation is maintained in both cases. A central vase is clearly implied in the layout. The differences in flower sequence are clearly distinguishable, and all arrangements maintain a recognizable circular spatial structure."
"Depict all ways to place one 'X' in a 2x2 grid, with other cells as 'O'.","There are 4 valid grid configurations: (1) 'X' in the top-left cell with 'O's elsewhere, (2) 'X' in the top-right cell with 'O's elsewhere, (3) 'X' in the bottom-left cell with 'O's elsewhere, and (4) 'X' in the bottom-right cell with 'O's elsewhere.",Symbolic Mathematical,Combinatorial,59,"All 4 distinct grid configurations are shown. Each grid contains exactly one 'X' and three 'O's. The 2x2 structure is clearly preserved in every layout. The 'X' is placed uniquely in one of the four possible cell positions: top-left, top-right, bottom-left, or bottom-right. The visual formatting of the grid is consistent and well-aligned for interpretability."
