Prompt,Reference Caption,Category,Subcategory,Assessment Point,id
Generate an image of either a toothbrush or a toothpaste tube.,"A toothbrush alone (e.g., on a sink) or a toothpaste tube standing upright with no toothbrush nearby.",logical,Disjunctive,"Toothbrushes and toothpaste are strongly associated in hygiene contexts. The model must depict only one object, overcoming the expectation of their co-presence.",20
"Either a lamp is on the desk, or a book is open on the desk.",A desk with only a lamp (no book) or a desk with an open book (no lamp).,logical,Disjunctive,"Lamps and books are both common desk items. The model should ensure only one is present, avoiding their simultaneous depiction despite their typical co-occurrence.",21
"Either a pillow is on the bed, or a blanket is folded neatly.",A bed with a pillow but no blanket or a folded blanket on a bed with no pillow.,logical,Disjunctive,Pillows and blankets are typically found together on beds. The model must depict one without the other to correctly represent the disjunctive 'either...or...' condition.,22
Generate an image of either a bicycle parked outside or a helmet hanging on a hook.,A bicycle leaning against a wall (no helmet) or a helmet hanging alone on a hook.,logical,Disjunctive,"Bicycles and helmets are associated with cycling. The model should generate an image with only the bicycle or the helmet, not both, as per the disjunctive requirement.",23
"Either a paintbrush is on the table, or a palette with paint is placed there.",A paintbrush lying on an empty table or a palette with paint blobs (no brush nearby).,logical,Disjunctive,"Paintbrushes and palettes are commonly used together in painting. The model should depict either one alone, avoiding their typical pairing to satisfy the 'either...or...' structure.",24
Generate an image of either a padlock or a key.,A closed padlock (no key) or a standalone key (not inserted into anything).,logical,Disjunctive,"Padlocks and keys are complementary items. The model must represent only one, ensuring they are not shown together despite their functional relationship.",25
Either a teacup or a saucer is on the table.,An image of a standalone teacup or an image of a saucer without a cup.,logical,Disjunctive,Teacups and saucers are normally paired. The model should demonstrate it can depict either item independently per the 'either-or' condition without combining them.,26
Either a pencil or an eraser is on the notebook.,A pencil without an eraser or an eraser without a pencil.,logical,Disjunctive,"Though pencils and erasers are often used together, the model must show understanding of exclusivity by depicting only one object as specified by the disjunction.",27
Either an open book or a bookmark is on the desk.,An open book with no bookmark or a standalone bookmark (no book).,logical,Disjunctive,The model should resist default associations (bookmarks in books) and correctly visualize either element in isolation as per the logical operator.,28
Either a lamp or a light bulb is on the table.,A lamp without a visible bulb or a light bulb not installed in a lamp.,logical,Disjunctive,"The model must distinguish between functionally related objects, showing either a complete lamp (without bulb details) or a disassembled bulb to satisfy exclusivity.",29
Either a smartphone or a charger is on the nightstand.,A smartphone without a charger or a charger without a phone.,logical,Disjunctive,"The model should avoid depicting complementary devices together, demonstrating understanding of the exclusive 'or' by showing only one component.",30
Either a computer keyboard or a mouse is on the desk.,A keyboard with no mouse or a mouse with no keyboard.,logical,Disjunctive,Keyboards and mice are frequently paired in desk setups. The model must avoid depicting both and adhere strictly to the 'either/or' condition by showing only one object.,31
Either a shirt or a hanger is in the closet.,A folded/stacked shirt (no hanger) or an empty hanger (no clothing).,logical,Disjunctive,"Shirts are commonly hung on hangers. The model should demonstrate disjunction by showing either a shirt not on a hanger or a hanger without clothing, breaking their typical association.",32
Generate an image of either a pencil or an eraser on a desk.,A pencil without an eraser or an eraser without a pencil.,logical,Disjunctive,"Pencils and erasers are often used together. The model must isolate the objects to satisfy the disjunctive condition, excluding the other item entirely.",33
Generate an image of either an open book or a pair of reading glasses.,A book without glasses or glasses without a book.,logical,Disjunctive,"Books and reading glasses are contextually linked. The model should ensure only one object is present, resisting the tendency to combine them despite their functional relationship.",34
Generate an image of either a paintbrush or a painter’s palette.,A paintbrush without a palette or a palette without brushes.,logical,Disjunctive,"Paintbrushes and palettes are strongly associated in artistic contexts. The model must interpret 'either/or' literally, avoiding depictions where both tools appear together.",35
Either an unlit candle or a matchbox on a wooden table.,An unlit candle (no matches) or a matchbox (no candle).,logical,Disjunctive,Candles and matchboxes are logically connected (fire sources). The model must demonstrate understanding that 'either/or' requires mutual exclusion despite their functional relationship.,36
Either a smartphone or a charging cable on a nightstand.,A smartphone alone or a charging cable alone.,logical,Disjunctive,"Smartphones and cables are frequently paired. The model should avoid depicting both items together, showing only one object to satisfy the disjunctive condition.",37
Either a knitted hat or a scarf on a bench.,A hat without a scarf or a scarf without a hat.,logical,Disjunctive,"Hats and scarves are complementary winter items. The model must resist showing them together, honoring the exclusive 'either/or' requirement.",38
Either a cat is playing with a ball of yarn or a dog is playing with a stick.,a. An image of a cat playing with a ball of yarn.          b. An image of a dog playing with a stick.,logical,Disjunctive,Distinct animals with different toys. The model should create separate scenarios without merging both subjects/objects into a single implausible composition.,39
Generate an image of either a cat sleeping or a dog sleeping.,a. An image of a cat sleeping.   b. An image of a dog sleeping.,logical,Disjunctive,"Similar action (sleeping) but different subjects. The model must show each animal separately rather than combining them, testing disjunctive interpretation despite identical verbs.",40
Either a book is open or a pen is writing.,a. An image of a book open on a desk.   b. An image of a pen writing on a piece of paper.,logical,Disjunctive,"Books and pens are commonly associated with desk activities. The model should interpret 'either...or...' to depict only one object in action per image, avoiding combined representations.",41
"Either a book is placed on the table, or a notebook is placed on the table.",a. An image of a book placed on the table.   b. An image of a notebook placed on the table.,logical,Disjunctive,"Books and notebooks are both reading/writing materials often used together. The model should generate separate images for each item, ensuring only one is present per scene as specified by the disjunction.",42
"Either a spoon is placed on the table, or a knife is placed on the table.",a. An image of a spoon placed on the table.   b. An image of a knife placed on the table.,logical,Disjunctive,"Spoons and knives are typical cutlery items that usually appear together. The model must demonstrate understanding of the exclusive 'or' by depicting each utensil individually, not both simultaneously.",43
"Either a plate is on the dining table, or a bowl is on the dining table.",a. An image of a plate on the dining table.   b. An image of a bowl on the dining table.,logical,Disjunctive,"Plates and bowls are dishware frequently used in shared mealtime contexts. The model should interpret the disjunction to show only one item per image, resisting the tendency to combine them.",44
"Either a pair of shoes is by the door, or a pair of slippers is by the door.",a. An image of a pair of shoes by the door.   b. An image of a pair of slippers by the door.,logical,Disjunctive,"Shoes and slippers are both footwear commonly kept near entryways. The model should adhere to the 'either/or' structure by generating distinct images for each option, excluding co-occurrence.",45
"Either a clock is on the wall, or a picture frame is on the wall.",a. An image of a clock on the wall.   b. An image of a picture frame on the wall.,logical,Disjunctive,Clocks and picture frames are both common wall-mounted items. The model should avoid depicting both objects simultaneously and correctly show only one item per image based on the 'either/or' structure.,46
"Either a watermelon is on the table, or a bunch of grapes is on the table.",a. An image of a watermelon on the table.   b. An image of a bunch of grapes on the table.,logical,Disjunctive,"Though both are fruits typically placed on tables, the model should demonstrate understanding of exclusivity by generating separate images rather than combining both items in a single output.",47
"Either a book is on the shelf, or a picture frame is on the shelf.",a. An image of a book on the shelf.   b. An image of a picture frame on the shelf.,logical,Disjunctive,Books and picture frames are equally plausible shelf items. The model must interpret the disjunction to produce distinct images showing each object separately rather than together.,48
"Either a television is on the wall, or a painting is on the wall.",a. An image of a television on the wall.   b. An image of a painting on the wall.,logical,Disjunctive,"While both TVs and paintings are wall-mounted decor, the model should demonstrate logical exclusivity by depicting these as separate scenarios rather than combining them in one image.",49
"Either a clock is on the wall, or a mirror is on the wall.",a. An image of a clock on the wall.   b. An image of a mirror on the wall.,logical,Disjunctive,Clocks and mirrors are both common wall fixtures. The model should correctly handle the disjunction by generating distinct images for each object rather than placing both on the same wall.,50
"Either a rug is on the floor, or a carpet is on the floor.",a. An image of a rug on the floor.   b. An image of a carpet on the floor.,logical,Disjunctive,Rugs and carpets are similar floor coverings. The model should recognize 'either...or...' as mutually exclusive and avoid combining both items in a single image.,51
"Either a plant is on the desk, or a lamp is on the desk.",a. An image of a plant on the desk.   b. An image of a lamp on the desk.,logical,Disjunctive,"While both plants and lamps are common desk items, the model should demonstrate understanding of disjunctive logic by depicting only one object despite their complementary nature in office settings.",52
"Either a fridge is in the kitchen, or a microwave is in the kitchen.",a. An image of a fridge in the kitchen.   b. An image of a microwave in the kitchen.,logical,Disjunctive,"The model should resist the common co-occurrence of fridges and microwaves in kitchens, interpreting the disjunction as requiring only one appliance to be present.",53
"Either a bike is in the garage, or a car is in the garage.",a. An image of a bike in the garage.   b. An image of a car in the garage.,logical,Disjunctive,The model should avoid defaulting to common garage compositions and strictly follow the logical disjunction by showing only one vehicle type despite their frequent co-occurrence.,54
"Either a toaster is on the counter, or a blender is on the counter.",a. An image of a toaster on the counter.   b. An image of a blender on the counter.,logical,Disjunctive,"The model should demonstrate precise interpretation of disjunctive logic by selecting only one small appliance, resisting the tendency to show multiple common countertop items together.",55
"Either a sandwich is in the lunchbox, or an apple is in the lunchbox.",a. An image of a sandwich in the lunchbox.   b. An image of an apple in the lunchbox.,logical,Disjunctive,"Sandwiches and apples are common lunchbox items. The model should interpret 'either...or...' to depict only one item, avoiding their typical co-occurrence.",56
"Either a bicycle is in the yard, or a skateboard is in the yard.",a. An image of a bicycle in the yard.    b. An image of a skateboard in the yard.,logical,Disjunctive,"Bicycles and skateboards are both outdoor items. The model must represent the exclusive 'or' by showing only one object in the yard, not both together.",57
"Either a television remote is on the coffee table, or a book is on the coffee table.",a. An image of a television remote on the coffee table.    b. An image of a book on the coffee table.,logical,Disjunctive,"A television remote and book are frequently found on coffee tables. The model should generate images with only one item present, adhering to the disjunctive premise.",58
"Either a painting is on the easel, or a canvas is on the easel.",a. An image of a painting on the easel.    b. An image of a canvas on the easel.,logical,Disjunctive,"A painting requires a canvas, so the model must distinguish between a blank canvas and a finished painting, ensuring only one is depicted as per the disjunctive statement.",59
"Either a lamp is on the side table, or a clock is on the side table.",a. An image of a lamp on the side table.    b. An image of a clock on the side table.,logical,Disjunctive,"Lamps and clocks are both common on side tables. The model should avoid combining them and instead show only one object, correctly interpreting the exclusive 'or'.",60
"Either a guitar is in the living room, or a violin is in the living room.",a. An image of a guitar in the living room.    b. An image of a violin in the living room.,logical,Disjunctive,"Guitars and violins are both musical instruments that may belong in a living room. The model should correctly interpret 'either...or...' to depict only one instrument, not both simultaneously.",61
"Either a cup of tea is on the desk, or a glass of water is on the desk.",a. An image of a cup of tea on the desk.    b. An image of a glass of water on the desk.,logical,Disjunctive,"Tea and water glasses are common desk items. The model should avoid combining both in a single image, adhering to the exclusive 'either...or...' disjunction.",62
"Either a pair of sneakers is in the hallway, or a pair of boots is in the hallway.",a. An image of a pair of sneakers in the hallway.      b. An image of a pair of boots in the hallway.,logical,Disjunctive,"Sneakers and boots are both hallway-appropriate footwear. The model should recognize that 'either...or...' requires depicting only one type of footwear, despite their contextual similarity.",63
"Either a vacuum cleaner is in the closet, or a broom is in the closet.",a. An image of a vacuum cleaner in the closet.      b. An image of a broom in the closet.,logical,Disjunctive,"Though vacuums and brooms are both cleaning tools stored in closets, the model should show only one item to satisfy the exclusive disjunction implied by 'either...or...'.",64
"Either a backpack is on the bed, or a suitcase is on the bed.",a. An image of a backpack on the bed.      b. An image of a suitcase on the bed.,logical,Disjunctive,"Backpacks and suitcases are both travel-related items. The model must interpret the disjunction to exclude simultaneous depiction, even though both could logically be placed on a bed.",65
"Either a guitar is in the corner, or a keyboard is in the corner.",a. An image of a guitar in the corner.      b. An image of a keyboard in the corner.,logical,Disjunctive,"Guitars and keyboards are both musical instruments that might appear in similar contexts. The model should recognize 'either...or...' requires depicting these items exclusively, not showing both instruments simultaneously.",66
"Either a bowl of soup is on the dining table, or a plate of pasta is on the dining table.",a. An image of a bowl of soup on the dining table.      b. An image of a plate of pasta on the dining table.,logical,Disjunctive,"Both soup and pasta are common table dishes. The model must interpret the disjunction to show each food item separately, avoiding combined representations in a single image.",67
"Either a laptop is on the desk, or a notebook is on the desk.",a. An image of a laptop on the desk.      b. An image of a notebook on the desk.,logical,Disjunctive,Laptops and notebooks are both workstation items that frequently coexist. The model should demonstrate understanding of exclusivity by depicting only one item per image as specified by the disjunction.,68
"Either a coffee table is in the living room, or a side table is in the living room.",a. An image of a coffee table in the living room.     b. An image of a side table in the living room.,logical,Disjunctive,"Coffee tables and side tables are both living room furniture types. The model should avoid blending both elements, instead generating distinct images for each table type per the logical 'or' condition.",69
"Either a blue pen is on the desk, or a red pen is on the desk.",a. An image of a blue pen on the desk.     b. An image of a red pen on the desk.,logical,Disjunctive,Pens of different colors are often shown together. The model must interpret the exclusive disjunction to display each color variant separately rather than combining them in one image.,70
"Either a cup is on the table, or a bowl is on the table.",a. An image of a cup on the table.     b. An image of a bowl on the table.,logical,Disjunctive,"Cups and bowls are both common tableware. The model should correctly interpret 'either...or...' as requiring only one item (cup or bowl) to be depicted on the table, not both simultaneously.",71
"Either a broom is in the closet, or a mop is in the closet.",a. An image of a broom in the closet.     b. An image of a mop in the closet.,logical,Disjunctive,Brooms and mops are cleaning tools often stored in similar locations. The model should demonstrate understanding of the exclusive 'or' by depicting only one of the two items in the closet.,72
"Either a picture is on the wall, or a clock is on the wall.",a. An image of a picture on the wall.     b. An image of a clock on the wall.,logical,Disjunctive,"Both pictures and clocks are common wall decorations. The model must show the ability to handle disjunction by displaying only one decorative object on the wall, avoiding their typical co-occurrence.",73
"Either a fork is on the plate, or a knife is on the plate.",a. An image of a fork on the plate.     b. An image of a knife on the plate.,logical,Disjunctive,Forks and knives are frequently paired utensils. The model should resist defaulting to common combinations and instead depict only one utensil on the plate based on the exclusive 'either/or' structure.,74
"Either a lamp is on the desk, or a vase is on the desk.",a. An image of a lamp on the desk.     b. An image of a vase on the desk.,logical,Disjunctive,Lamps and vases are both plausible desk items. The model needs to interpret the disjunction literally by showing only one object (lamp or vase) present on the desk.,75
"Either a tennis racket is in the corner, or a baseball glove is in the corner.",a. An image of a tennis racket in the corner.     b. An image of a baseball glove in the corner.,logical,Disjunctive,"Tennis rackets and baseball gloves are both sports equipment. The model should interpret 'either...or...' to mean only one item should appear in each generated image, despite their thematic connection.",76
"Either a bowl of fruit is on the table, or a plate of cookies is on the table.",a. An image of a bowl of fruit on the table.     b. An image of a plate of cookies on the table.,logical,Disjunctive,"Fruit bowls and cookie plates are both common table items. The model must avoid combining both in a single image, correctly representing the exclusive 'or' relationship between them.",77
"Either a sandwich is on the counter, or a bowl of soup is on the counter.",a. An image of a sandwich on the counter.     b. An image of a bowl of soup on the counter.,logical,Disjunctive,Sandwiches and soup are both lunch foods. The model should demonstrate it can separate these logically distinct options rather than defaulting to typical meal combinations.,78
"Either a teddy bear is on the chair, or a pillow is on the chair.",a. An image of a teddy bear on the chair.      b. An image of a pillow on the chair.,logical,Disjunctive,"Teddy bears and pillows both belong in cozy environments. The model needs to show restraint by depicting only one object per image, resisting the urge to create a 'comfortable scene' with both.",79
"Either a salad is in the bowl, or a soup is in the bowl.",a. An image of a salad in the bowl.      b. An image of a soup in the bowl.,logical,Disjunctive,"Salad and soup share the same container type. The model must focus on content distinction rather than container consistency, ensuring only one dish appears per image.",80
"Either a tea kettle is on the stove, or a frying pan is on the stove.",a. An image of a tea kettle on the stove.      b. An image of a frying pan on the stove.,logical,Disjunctive,The image clearly reflects either one of the two objects (a tea kettle or a frying pan) on the stove. The disjunctive nature of the prompt is directly represented by showing both possible scenarios.,81
"Either a book is on the table, or a magazine is on the table.",a. An image of a book on the table.      b. An image of a magazine on the table.,logical,Disjunctive,"The image captures one of the two objects (either a book or a magazine) placed on the table, reflecting the disjunctive condition set in the prompt.",82
"Either a chair is in the dining room, or a stool is in the dining room.",a. An image of a chair in the dining room.      b. An image of a stool in the dining room.,logical,Disjunctive,"The disjunctive nature is represented by showing one of the two items, either a chair or a stool, in the dining room. The answer corresponds to the possible choices presented in the prompt.",83
"Either a soccer ball is in the backyard, or a basketball is in the backyard.",a. An image of a soccer ball in the backyard.    b. An image of a basketball in the backyard.,logical,Disjunctive,"The image shows one of the two possible items (soccer ball or basketball) in the backyard, in line with the disjunctive statement in the prompt.",84
"Either a sweater is in the closet, or a jacket is in the closet.",a. An image of a sweater in the closet.    b. An image of a jacket in the closet.,logical,Disjunctive,"The image accurately represents one of the two possible items (either a sweater or a jacket) in the closet, reflecting the disjunctive scenario.",85
"Either a coffee mug is on the kitchen counter, or a teapot is on the kitchen counter.",a. An image of a coffee mug on the kitchen counter.    b. An image of a teapot on the kitchen counter.,logical,Disjunctive,"The image captures one of the two objects (either a coffee mug or a teapot) on the kitchen counter, showing the correct disjunctive outcome.",86
"Either a sandwich is in the fridge, or a bottle of juice is in the fridge.",a. An image of a sandwich in the fridge.    b. An image of a bottle of juice in the fridge.,logical,Disjunctive,"The image represents either a sandwich or a bottle of juice in the fridge, corresponding to the disjunctive prompt where either of these items must be present.",87
"Either a pencil case is on the desk, or a ruler is on the desk.",a. An image of a pencil case on the desk.    b. An image of a ruler on the desk.,logical,Disjunctive,"The image accurately depicts one of the two possible items (either a pencil case or a ruler) on the desk, directly following the prompt's disjunctive nature.",88
"Either a pen is on the table, or a pencil is on the table.",a. An image of a pen on the table.   b. An image of a pencil on the table.,logical,Disjunctive,The reference caption shows both possible scenarios: one image with a pen and the other with a pencil. This corresponds to the disjunctive nature of the prompt.,89
"Either a pair of shoes is under the bed, or a bag is under the bed.",a. An image of a pair of shoes under the bed.   b. An image of a bag under the bed.,logical,Disjunctive,"The reference caption illustrates both options: shoes and a bag under the bed, aligning with the disjunctive condition in the prompt.",90
"Either a sofa is in the living room, or a chair is in the living room.",a. An image of a sofa in the living room.   b. An image of a chair in the living room.,logical,Disjunctive,"The reference caption accurately displays either a sofa or a chair in the living room, which matches the disjunctive prompt specifying one of the two objects.",91
"Either a red apple is on the counter, or a banana is on the counter.",a. An image of a red apple on the counter.   b. An image of a banana on the counter.,logical,Disjunctive,"The reference caption clearly shows either a red apple or a banana on the counter, aligning with the disjunctive prompt where either object can be present.",92
"Either a spoon is in the drawer, or a fork is in the drawer.",a. An image of a spoon in the drawer.   b. An image of a fork in the drawer.,logical,Disjunctive,"The reference caption shows two possible scenarios: either a spoon or a fork in the drawer, in line with the disjunctive nature of the prompt.",93
"Either a chair is in the corner, or a lamp is in the corner.",a. An image of a chair in the corner.   b. An image of a lamp in the corner.,logical,Disjunctive,"The reference caption correctly illustrates the two options: either a chair or a lamp in the corner, reflecting the disjunctive nature of the prompt.",94
"Either a plant is on the windowsill, or a vase is on the windowsill.",a. An image of a plant on the windowsill.   b. An image of a vase on the windowsill.,logical,Disjunctive,"The reference caption represents both possibilities: a plant or a vase on the windowsill, which aligns with the disjunctive structure of the prompt.",95
"Either a sandwich is on the plate, or a salad is on the plate.",a. An image of a sandwich on the plate.   b. An image of a salad on the plate.,logical,Disjunctive,"The reference caption illustrates both possible scenarios, showing either a sandwich or a salad on the plate, which directly matches the disjunctive logic in the prompt.",96
"Either a coffee cup is on the desk, or a pencil holder is on the desk.",a. An image of a coffee cup on the desk.   b. An image of a pencil holder on the desk.,logical,Disjunctive,"The reference caption correctly shows either a coffee cup or a pencil holder on the desk, which matches the disjunctive structure where one of the two must be true.",97
"Either a fruit bowl is on the table, or a jar of cookies is on the table.",a. An image of a fruit bowl on the table.      b. An image of a jar of cookies on the table.,logical,Disjunctive,"The reference caption provides images that show either a fruit bowl or a jar of cookies on the table, fitting the disjunctive structure where one of the two items must be present.",98
"Either a jacket is hanging on the coat rack, or a scarf is hanging on the coat rack.",a. An image of a jacket hanging on the coat rack.      b. An image of a scarf hanging on the coat rack.,logical,Disjunctive,"The reference caption presents both possibilities: a jacket or a scarf hanging on the coat rack, which fits the disjunctive nature of the prompt.",99
"Either a baseball bat is leaning against the wall, or a soccer ball is leaning against the wall.",a. An image of a baseball bat leaning against the wall.      b. An image of a soccer ball leaning against the wall.,logical,Disjunctive,"The reference caption depicts either a baseball bat or a soccer ball leaning against the wall, clearly fulfilling the disjunctive requirement of the prompt.",100
Either a pillow or a blanket is on the bed.,A pillow without a blanket or a blanket without a pillow.,logical,Disjunctive,"The reference caption depicts either a pillow or a blanket on the bed, with one present without the other, which aligns with the disjunctive prompt structure.",101
Either a camera or a tripod placed on the ground.,A camera standing alone on the ground or A tripod with no camera attached.,logical,Disjunctive,"The reference caption shows either a camera on the ground or a tripod without a camera, aligning perfectly with the disjunctive structure specified in the prompt.",102
