Assessment Point,Prompt,Reference Caption,Category,Subcategory,id
The model should recognize that a miniature cupcake is extremely small when juxtaposed with a sprawling roller coaster.,A miniature cupcake sitting atop a looping roller coaster track.,The cupcake appears as a tiny detail against the enormous and twisting roller coaster.,Compositional,Inferential Spatial,31
The model should depict a small rubber duck as being extremely tiny relative to a colossal steam locomotive.,A rubber duck riding atop a steam locomotive in the real world.,"The rubber duck is clearly minute against the huge, detailed structure of the locomotive.",Compositional,Inferential Spatial,32
The model must infer that a simple paper airplane is very small compared to a towering clock tower.,A paper airplane flying near an enormous clock tower.,The paper airplane is visibly tiny when placed next to the towering clock tower.,Compositional,Inferential Spatial,33
The model should position a lighthouse as taller than a nearby sailboat.,A lighthouse on a cliff with a sailboat in the ocean below.,"The lighthouse towers over the sailboat, even if the boat is close to the cliff.",Compositional,Inferential Spatial,34
The model should depict that a skyscraper towers far above a sailboat in scale.,Skyscraper next to a sailboat.,"A towering skyscraper with a tiny sailboat positioned near its base, clearly showing the scale difference.",Compositional,Inferential Spatial,35
The model should depict that a bicycle is far smaller than a space shuttle.,Bicycle next to a space shuttle.,"A bicycle rendered as tiny next to a colossal space shuttle, highlighting the clear size disparity.",Compositional,Inferential Spatial,36
The model should illustrate that a chess piece is minuscule when compared to a medieval castle.,Chess piece on a medieval castle.,"A tiny chess piece placed on or near an expansive medieval castle, emphasizing the scale difference.",Compositional,Inferential Spatial,37
The model should show that an airplane is substantially larger than a hot air balloon.,A hot air balloon flying near an airplane.,"The airplane is rendered as a huge, dominant object, while the hot air balloon appears significantly smaller.",Compositional,Inferential Spatial,38
The model should infer that a giraffe is taller than a refrigerator.,A giraffe standing next to a kitchen refrigerator.,The giraffe’s neck and head extend well above the refrigerator’s height.,Compositional,Inferential Spatial,39
The model must recognize that a basketball is negligible in size compared to the Empire State Building.,A basketball sitting on the observation deck of the Empire State Building.,The basketball appears as a small object against the building’s vast rooftop and skyline.,Compositional,Inferential Spatial,40
The model must distinguish a paper airplane’s size from a commercial airplane.,A paper airplane flying near a parked Boeing 747.,The paper airplane is rendered as a tiny silhouette beside the massive jet.,Compositional,Inferential Spatial,41
The model must infer that a skateboard is dwarfed by the Golden Gate Bridge.,A skateboard lying on the road beneath the Golden Gate Bridge.,The skateboard is tiny relative to the bridge’s massive pillars and spans.,Compositional,Inferential Spatial,42
The model should correctly infer that a motorcycle is vastly smaller than a skyscraper.,Motorcycle parked next to a skyscraper.,"An image where the motorcycle is clearly diminutive next to a towering skyscraper, emphasizing the dramatic size difference.",Compositional,Inferential Spatial,43
The model should depict that a minivan is much smaller than an ocean liner.,Minivan floating beside an ocean liner.,"A scene showing a relatively small minivan next to an enormous ocean liner, with clear scale indicators.",Compositional,Inferential Spatial,44
The model should know that a toy car is significantly smaller than a real car.,A toy car next to a real car in a parking lot.,"A composition where the toy car is visibly miniature compared to the full-sized car, highlighting the size contrast.",Compositional,Inferential Spatial,45
The model should infer that a satellite is much smaller than a space station.,A satellite orbiting near a massive space station.,"A depiction where the satellite appears as a tiny object in close proximity to a large, complex space station.",Compositional,Inferential Spatial,46
The model should depict that a small potted plant is dwarfed by a full-sized airplane.,A potted plant placed in front of an airplane at the airport.,"An image where the potted plant appears very small when compared with the massive airplane, establishing a clear size disparity.",Compositional,Inferential Spatial,47
The model must deduce that a snail is extremely tiny compared to a military submarine.,A snail on the deck of a submarine.,"A minuscule snail is clearly visible on the surface of an enormous submarine, emphasizing the vast difference in scale.",Compositional,Inferential Spatial,48
The model should illustrate that a common coffee mug is very small compared to a decommissioned space shuttle.,A coffee mug placed next to a retired space shuttle.,"The space shuttle appears vast and imposing, while the coffee mug is depicted as a tiny, everyday object, emphasizing the relative scale.",Compositional,Inferential Spatial,49
The model should depict that a sleek sports car is much smaller than a freight train.,A sleek sports car parked next to a freight train.,"The sports car is shown as significantly smaller than the lengthy freight train, with the contrast in scale evident.",Compositional,Inferential Spatial,50
The model should render a goldfish as tiny when placed near a colossal cargo ship.,A goldfish swimming near a cargo ship.,"The goldfish is portrayed as extremely small compared to the enormous cargo ship, with the size discrepancy vividly illustrated.",Compositional,Inferential Spatial,51
The model should understand that a teacup is extremely small compared to a swimming pool.,A teacup floating in a swimming pool.,"The teacup is depicted as a very small object in the midst of a large, expansive swimming pool.",Compositional,Inferential Spatial,52
The model should infer that a dolphin is small compared to an oil tanker.,A dolphin swimming near an oil tanker.,The dolphin appears noticeably small in comparison to the massive size of the oil tanker.,Compositional,Inferential Spatial,53
The model should depict a squirrel as small relative to a bulldozer.,A squirrel sitting on top of a bulldozer.,The squirrel is visibly tiny compared to the bulldozer’s cab or blade.,Compositional,Inferential Spatial,54
The model must understand a toothbrush is dwarfed by a waterfall.,A toothbrush leaning against a waterfall.,The toothbrush is tiny compared to the waterfall’s height and width.,Compositional,Inferential Spatial,55
"The treadmill should be facing the television, as people who enjoy watching TV may prefer running while watching their favorite shows.",Illustrate the placement of a television and a treadmill in the living room of a person who loves watching TV.,"A treadmill positioned directly in front of a television in a cozy living room, allowing the person to watch TV while exercising.",Compositional,Inferential Spatial,56
The model should recognize that a watermelon is larger than a bowling ball.,A watermelon and a bowling ball side by side.,"The watermelon is visibly larger, reflecting real-world dimensions.",Compositional,Inferential Spatial,57
The model should depict that a violin is significantly smaller than a majestic cathedral.,A violin resting in front of a grand cathedral.,"A delicate violin in the foreground with a towering cathedral in the background, highlighting the vast difference in scale.",Compositional,Inferential Spatial,58
The model should determine that a zebra is smaller in size compared to the Arc de Triomphe.,A zebra and the Arc de Triomphe.,"A zebra appearing in the foreground, clearly smaller than the grand Arc de Triomphe in the background.",Compositional,Inferential Spatial,59
"The model should recognize the size relationship between a hedgehog and Big Ben, with the hedgehog being much smaller.",A hedgehog and Big Ben.,"A small hedgehog in the scene contrasted with the towering and majestic Big Ben, emphasizing the size difference.",Compositional,Inferential Spatial,60
"The model should recognize the size disparity between a lion and an ancient castle, with the lion being significantly smaller.",A lion and an ancient castle.,"A lion appearing as the smaller subject in the foreground, while the grand castle dominates the background, creating a striking contrast.",Compositional,Inferential Spatial,61
"The model should infer the proportional relationship between a crocodile and a suspension bridge, with the crocodile being much smaller.",A crocodile and a suspension bridge.,"A crocodile appearing at a smaller scale in the scene, while the towering suspension bridge looms in the background, creating a strong contrast in size.",Compositional,Inferential Spatial,62
"The model should determine the size relationship between a kangaroo and Tower Bridge, with the kangaroo being much smaller.",A kangaroo and Tower Bridge.,"A smaller kangaroo positioned in the foreground, with the massive Tower Bridge displayed prominently in the background, highlighting the size difference.",Compositional,Inferential Spatial,63
"The model should infer the proportional relationship between an antique car and a skyscraper, with the antique car being much smaller.",An antique car and a skyscraper.,"An antique car depicted as a small object, while the skyscraper towers into the sky, creating an obvious size contrast.",Compositional,Inferential Spatial,64
"The model should determine the size relationship between a turtle and a seaside lighthouse, with the turtle being significantly smaller.",A turtle and a seaside lighthouse.,"A tiny turtle in the foreground, with the distant lighthouse standing tall and prominent, showing a clear difference in scale.",Compositional,Inferential Spatial,65
The model should recognize that a tiny teacup is much smaller than a classic British telephone booth.,Teacup and a British telephone booth.,"A very small teacup placed next to a large, classic British telephone booth, with a clear size disparity.",Compositional,Inferential Spatial,66
The model should recognize that a single book is much smaller than an enormous sundial.,A book and a sundial.,"A small book set next to an oversized sundial, with the difference in dimensions clearly highlighted.",Compositional,Inferential Spatial,67
The model should infer that a snail is minuscule relative to a mountain.,Snail and mountain.,"A tiny snail in the foreground with a massive mountain peak in the background, emphasizing the vast scale difference.",Compositional,Inferential Spatial,68
The model should understand that a cupcake is very small compared to a Gothic cathedral.,Cupcake and Gothic cathedral.,"A tiny cupcake next to a massive Gothic cathedral, with the cathedral's enormous scale being unmistakable.",Compositional,Inferential Spatial,69
The model should recognize that a mailbox is tiny when placed next to a giant windmill.,A small mailbox standing beside a large windmill in a rural setting.,The mailbox is clearly dwarfed by the size of the windmill.,Compositional,Inferential Spatial,70
The model should recognize that a grain of sand is microscopic compared to industrial construction equipment.,Grain of sand near a bulldozer.,"A single grain of sand is shown as barely visible next to a massive yellow bulldozer, highlighting extreme size disparity.",Compositional,Inferential Spatial,71
The model should show that a feather is delicate and small relative to a commercial airplane.,Feather floating near an airplane.,"A lightweight feather drifts near the colossal frame of an airplane, underscoring the dramatic scale difference.",Compositional,Inferential Spatial,72
The model should infer that a toothpick is slender and insignificant next to a powerful waterfall.,Toothpick next to a waterfall.,"A thin toothpick is depicted as fragile beside the waterfall's thundering cascade, emphasizing scale and force contrasts.",Compositional,Inferential Spatial,73
The model should understand that a chess pawn is dwarfed by a modern suspension bridge.,Chess pawn next to a suspension bridge.,A detailed chess pawn appears tiny at the base of a massive suspension bridge with towering cables and supports.,Compositional,Inferential Spatial,74
The model should show that a acorn is extremely small compared to a vintage steam locomotive.,Acorn placed near a steam train.,"A small textured acorn is juxtaposed with a large, intricate steam locomotive, emphasizing dramatic scale contrast.",Compositional,Inferential Spatial,75
The model should show that a hummingbird is diminutive when placed next to a massive hot air balloon.,A hummingbird hovering near a hot air balloon.,"The tiny hummingbird appears minuscule and delicate beside the enormous, brightly colored hot air balloon, emphasizing the vast size difference.",Compositional,Inferential Spatial,76
The model should illustrate that a paperclip is minuscule alongside a towering suspension bridge.,A paperclip next to a suspension bridge.,"A small metallic paperclip is juxtaposed with a colossal suspension bridge, its intricate structure dwarfing the clip entirely.",Compositional,Inferential Spatial,77
The model should convey that a cherry blossom petal is delicate and tiny compared to a Gothic cathedral.,A cherry blossom petal falling near a cathedral.,The translucent pink petal is rendered as a fragile speck drifting past the imposing stone facade and spires of the cathedral.,Compositional,Inferential Spatial,78
The model should depict that a grain of rice is insignificant in size next to a cargo ship.,A grain of rice beside a cargo ship.,"A single grain of rice lies barely visible at the hull of a gigantic cargo ship, underscoring the extreme disparity in scale.",Compositional,Inferential Spatial,79
The model should highlight that a firefly's bioluminescence is tiny against a coastal lighthouse.,A firefly glowing near a lighthouse.,The firefly’s faint glow appears microscopic compared to the lighthouse’s sweeping beam and towering structure dominating the shoreline.,Compositional,Inferential Spatial,80
The model should depict that a tiny ladybug is dwarfed by a towering skyscraper.,A ladybug on the ground next to a skyscraper.,"A tiny ladybug appears minuscule against the backdrop of an enormous skyscraper, emphasizing the vast difference in scale.",Compositional,Inferential Spatial,81
The model should demonstrate that a single grain of rice is extremely small compared to a massive steam locomotive.,A grain of rice near a steam locomotive.,"A minuscule grain of rice is barely noticeable beside the large, detailed steam locomotive, making the size contrast evident.",Compositional,Inferential Spatial,82
The model should indicate that a small pebble is insignificant in size next to a vast ocean liner.,Pebble next to an ocean liner.,"A tiny pebble is depicted near a massive ocean liner, making the scale disparity clear and striking.",Compositional,Inferential Spatial,83
The model should recognize that a minuscule dewdrop is far smaller than a towering lighthouse.,Dewdrop on a leaf near a lighthouse.,"A delicate dewdrop is rendered tiny beside a tall, commanding lighthouse, showcasing the dramatic difference in scale.",Compositional,Inferential Spatial,84
The model should depict that a single playing card is tiny when set against a colossal Ferris wheel.,A playing card near a Ferris wheel.,"A small playing card is illustrated beside an enormous Ferris wheel, clearly showing the stark contrast in size.",Compositional,Inferential Spatial,85
The model should show that a lone paperclip is incredibly small when placed next to a grand concert piano.,Paperclip beside a concert piano.,"A minuscule paperclip is depicted near a large, elegant concert piano, making the size difference strikingly evident.",Compositional,Inferential Spatial,86
The model should understand that a small raindrop is almost imperceptible compared to a massive hot air balloon.,A raindrop falling near a hot air balloon.,"A tiny raindrop is shown near an enormous hot air balloon, emphasizing the vast difference in scale.",Compositional,Inferential Spatial,87
The model should recognize that a tiny sewing needle is vastly smaller than a towering medieval cathedral.,Sewing needle in front of a medieval cathedral.,"A small sewing needle appears minuscule against the backdrop of a towering medieval cathedral, highlighting the immense scale difference.",Compositional,Inferential Spatial,88
The model should illustrate that a single mustard seed is incredibly small next to a large stone fortress.,Mustard seed on the ground near a stone fortress.,"A tiny mustard seed is depicted near a vast stone fortress, making the contrast in size highly apparent.",Compositional,Inferential Spatial,89
The model should convey that a tiny sand grain is practically invisible compared to a gigantic golden Buddha statue.,A sand grain near a golden Buddha statue.,"A single sand grain is portrayed as barely visible beside a massive golden Buddha statue, clearly displaying the size contrast.",Compositional,Inferential Spatial,90
The model should depict that a rare orchid is extremely small when placed next to an enormous satellite dish.,A orchid next to a satellite dish.,"The delicate orchid appears minute and fragile beside the large, imposing satellite dish.",Compositional,Inferential Spatial,91
The model should depict that a single seashell is tiny when set against a towering glass pyramid.,A single seashell and a towering glass pyramid.,"The seashell is rendered as very small, clearly overwhelmed by the pyramid’s height and scale.",Compositional,Inferential Spatial,92
"The model should show that a delicate butterfly is minuscule next to a sprawling, towering castle.",A butterfly fluttering near a medieval castle.,"A small, detailed butterfly contrasted against an expansive, towering castle, with the castle dominating the scene.",Compositional,Inferential Spatial,93
The model should understand that a tiny dragonfly is far smaller than a vintage gramophone.,Dragonfly and vintage gramophone.,"A small, delicate dragonfly is depicted near a large, classic gramophone, highlighting the scale contrast.",Compositional,Inferential Spatial,94
The model should infer that a slender matchstick is extremely small compared to a massive dinosaur skeleton.,Matchstick next to a dinosaur skeleton.,"A very small matchstick is juxtaposed with a huge dinosaur skeleton, making the size relationship clear.",Compositional,Inferential Spatial,95
The model should recognize that a minuscule jelly bean is far smaller than a towering wind turbine.,Jelly bean near a wind turbine.,"A tiny jelly bean is depicted beside a giant wind turbine, with the scale difference prominently visible.",Compositional,Inferential Spatial,96
The model should know that a tiny fruit fly is much smaller than a vintage telephone booth.,Fruit fly flying past a telephone booth.,"A delicate fruit fly is shown near a large, detailed vintage telephone booth, clearly highlighting the difference in scale.",Compositional,Inferential Spatial,97
The model should understand that a single snowflake is extremely small compared to an elaborate crystal chandelier.,Snowflake falling near a crystal chandelier.,"A tiny, detailed snowflake is shown near a large, ornate crystal chandelier, clearly exhibiting an extreme difference in scale.",Compositional,Inferential Spatial,98
The model should deduce that an iguana is far smaller than a grand medieval castle.,An iguana in front of a medieval castle,"The image portrays a small iguana juxtaposed with a huge castle, making the size disparity clear.",Compositional,Inferential Spatial,99
The model should infer that a paper pinwheel (usually handmade and very small) is significantly smaller than a power-generating wind turbine (a large industrial structure).,A paper pinwheel and a wind turbine,"The generated image should clearly show a small, handcrafted paper pinwheel placed next to a massive wind turbine, emphasizing their stark size contrast.",Compositional,Inferential Spatial,100
