Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
Show a beach where waves are made of sand and the ocean is solid glass.,Coastal scene with granular sand waves and vitrified sea surface.,Material state inversion (solid waves vs. rigid liquid) challenging natural physics expectations,Compositional,Creative Compositional,13
Visualize mountains suspended in mid-air with valleys floating above them.,"Aerial topography with inverted elevation - peaks below, hollows above.",Spatial paradox in geological formations defying gravitational logic,Compositional,Creative Compositional,14
Illustrate fish flying in the sky and birds swimming underwater.,Fish in the air and birds submerged in water.,Elemental environment swap between aquatic and aerial creatures,Compositional,Creative Compositional,15
A mirror showing nighttime in its reflection during the day.,A mirror reflecting a nighttime scene in daylight conditions.,Temporal dissonance within reflective surfaces breaking chronological consistency,Compositional,Creative Compositional,16
Illustrate a bicycle riding a human cyclist.,A sentient bicycle pedaling a person through handlebar 'legs'.,Anthropomorphic object hierarchy reversal with mechanical propulsion paradox,Compositional,Creative Compositional,17
Show a microwave oven cooking a chef.,Appliance glowing as it prepares a human in kitchen whites.,Reversing the typical user-tool relationship by making the appliance cook its human operator,Compositional,Creative Compositional,18
Illustrate trees planting people in a forest.,Sentient vegetation digging holes to bury humans upright.,Subverting natural hierarchy by having plants actively cultivate humans instead of passively being cultivated,Compositional,Creative Compositional,19
Depict coffee drinking a human from a mug.,Liquid arms lifting a screaming person toward a ceramic rim.,Animating liquid substances and reversing consumption roles between beverage and drinker,Compositional,Creative Compositional,20
Depict a bird feeding a human.,A bird dropping seeds into a person’s mouth in a nest.,Inverting natural food chain dynamics and caretaker roles between species,Compositional,Creative Compositional,21
Show pizza eating people.,Anthropomorphic food item consuming humans at a dining table.,Reversing consumer-consumed relationships through food anthropomorphism,Compositional,Creative Compositional,22
Illustrate a chair sitting on a person.,Furniture resting atop a human as if the person is an object.,Subverting subject-object relationships by making furniture treat humans as inanimate supports,Compositional,Creative Compositional,23
Illustrate a bicycle pedaling a human rider.,A bicycle with legs pedaling a human sitting on its frame.,"Role reversal between vehicle and rider, requiring inversion of animate/inanimate relationships.",Compositional,Creative Compositional,24
Show teacups pouring people into saucers.,Animated china tipping humans like liquid into dishware.,"Reimagining teacups as active agents manipulating humans as liquid, reversing typical object-function dynamics.",Compositional,Creative Compositional,25
Depict fire hydrants walking dogs made of water.,Bronze hydrants holding liquid-dog leashes during a 'walk.',Simultaneous anthropomorphism of infrastructure and material transformation of living beings (water dogs).,Compositional,Creative Compositional,26
Draw a baby bottle-feeding an adult.,An infant holding a bottle to feed a full-grown person.,Subversion of developmental hierarchy and caregiving conventions through role inversion.,Compositional,Creative Compositional,27
Illustrate a tree planting a gardener in soil.,A tree using a shovel to place a human gardener into the ground.,Reversal of ecological agency between natural elements and human cultivators.,Compositional,Creative Compositional,28
Illustrate rainclouds using umbrellas.,Anthropomorphic clouds holding umbrellas to shield themselves from people below.,Inversion of weather protection dynamics through animated meteorological phenomena.,Compositional,Creative Compositional,29
Draw a pizza delivering a delivery person.,"A pizza box riding a scooter, carrying a human worker in its delivery bag.","Role reversal between food and service provider, requiring inversion of typical object-human relationships.",Compositional,Creative Compositional,30
Show a vacuum cleaner cleaning a robot.,A sentient vacuum sucking debris off a metallic robot companion.,"Subversion of Reference Caption human-object dynamics through mutual automation, reversing cleaning hierarchy.",Compositional,Creative Compositional,31
Depict Earth orbiting the moon.,Planetary body in concentric circles around lunar satellite.,"Astronomical hierarchy inversion, challenging natural celestial relationships.",Compositional,Creative Compositional,32
Draw a computer using humans as circuit components.,People embedded in motherboard slots like RAM or processors.,Anthropomorphic inversion where humans become functional parts of a machine system.,Compositional,Creative Compositional,33
Show the sun orbiting a giant sunflower.,A flaming star revolving around a massive flower in space.,Cosmic scale reversal combining botanical and celestial elements in unnatural hierarchy.,Compositional,Creative Compositional,34
Depict a person with feet attached to their arms and hands attached to their legs.,A person walking on their hands and gesturing with their feet.,Anatomical inversion requiring reimagined limb functionality and body mechanics.,Compositional,Creative Compositional,35
Draw a cat walking a human on a leash.,A cat walking a human on a leash.,"Role reversal between pet and owner, challenging typical human-animal dynamics.",Compositional,Creative Compositional,36
Depict a fish swimming through the sand dunes of a desert.,"A fish gliding through sand as if it were water, surrounded by desert dunes.",Contradictory environment adaptation: aquatic creature in arid landscape with sand behaving like liquid.,Compositional,Creative Compositional,37
Draw a coffee cup drinking a barista through a straw.,An oversized mug sucking up a miniature human worker from a coffee shop counter.,"Inverted object-human interaction with scale distortion, subverting consumption norms.",Compositional,Creative Compositional,38
Draw vegetables chopping chefs in a kitchen.,Sentient produce using knives to dice human cooks on a cutting board.,Reversal of food-preparation roles: ingredients becoming active agents against humans.,Compositional,Creative Compositional,39
Illustrate stars observing astronomers through telescopes.,Celestial bodies peering through giant optical devices to study humans on Earth.,Cosmic perspective inversion: celestial objects becoming conscious observers of humanity.,Compositional,Creative Compositional,40
Illustrate a tree reading a book under a lamp.,"A tree with branches holding a book, illuminated by a nearby lamp.",Anthropomorphized flora engaging in human intellectual activity through unconventional anatomy.,Compositional,Creative Compositional,41
Draw a chair riding a bicycle on city streets.,"A chair sitting on a bicycle, riding through busy city streets.",Personifying an inanimate object (chair) to perform human actions (cycling) in a realistic urban environment.,Compositional,Creative Compositional,42
Draw a bottle of juice swimming in a pool.,"A bottle of juice floating in the pool, with its cap as a swim cap and the straw acting as a swimmer's float.","Repurposing object components (cap, straw) as swim gear to enable human-like activity for an inanimate object.",Compositional,Creative Compositional,43
Draw a knife using utensils to eat dinner.,"A knife sitting at the dinner table with utensils, cutting vegetables and eating food with a fork.",Role reversal of a tool (knife) acting as an agent using other utensils to perform human tasks.,Compositional,Creative Compositional,44
Draw a bicycle orbiting a planet in space.,"A bicycle riding through space, passing planets and interstellar clouds.",Recontextualizing a terrestrial object in an extraterrestrial environment while maintaining functionality.,Compositional,Creative Compositional,45
Draw a fork appreciating art in a museum.,"A fork standing in a museum gallery, carefully admiring the artwork hanging on the walls.",Anthropomorphizing a utensil to exhibit intellectual/cultural engagement in a human setting.,Compositional,Creative Compositional,46
Draw a shark photographing a scuba diver underwater.,"A shark holding a camera, taking pictures of a confused diver.",Reversing predator-human dynamics and enabling marine life to manipulate human technology.,Compositional,Creative Compositional,47
Show a smartphone charging a person with a cable.,"A phone plugged into a human, replenishing their energy.","Reversing the conventional energy flow between humans and technology, challenging logical causality.",Compositional,Creative Compositional,48
Depict a spider teaching a child to spin a web.,Giant spider instructing a toddler on silk-thread techniques.,"Cross-species mentorship reversal, combining biological instinct with human-style pedagogy.",Compositional,Creative Compositional,49
Illustrate bees keeping humans in honeycomb apartments.,Bees managing tiny people in hexagonal human hives.,Inverting ecological hierarchies and reimagining architectural symbiosis between species.,Compositional,Creative Compositional,50
Draw a dog giving a bath to its human owner.,Canine scrubbing a soapy human in a tub with a loofah.,Subverting pet-owner dynamics through role reversal in caregiving activities.,Compositional,Creative Compositional,51
Draw a pillow jumping on a trampoline.,"A pillow bouncing on a trampoline, flying up and down, as if enjoying exercise.",Animating inanimate objects with volition and physical agency in recreational contexts.,Compositional,Creative Compositional,52
Draw a table dancing in a dance hall.,"A table standing in the dance hall, its legs spinning and leaping like a dancer.",Reimagining rigid furniture with fluid biomorphic movement in social spaces.,Compositional,Creative Compositional,53
Draw a pencil performing figure skating on an ice rink.,"A pencil spinning and jumping on the ice, performing graceful figure skating moves.",Anthropomorphizing an inanimate object (pencil) to execute complex human-like ice skating motions while maintaining object recognition.,Compositional,Creative Compositional,54
Draw a fish biting a dog.,"A fish opening its mouth, biting the tail of a dog standing at the water's edge.",Reversing natural predator-prey dynamics and creating plausible spatial interaction between aquatic and terrestrial creatures.,Compositional,Creative Compositional,55
Draw a horse riding a bear.,"A horse sitting on the back of a bear, with the bear running through the forest.",Inverting conventional rider-mount relationships between animals while maintaining anatomical plausibility in their poses.,Compositional,Creative Compositional,56
Draw a tomato eating a human.,"A giant tomato opening its 'mouth' and swallowing a small human, with a crowd of frightened people nearby.","Transforming a vegetable into a predatory entity through scale manipulation and pseudo-anatomical features, while maintaining vegetable recognition.",Compositional,Creative Compositional,57
Draw a strawberry riding a bee flying in the air.,"A strawberry sitting on the back of a giant bee, both flying through the sky, passing through clouds.",Reconciling size disparity between organisms and reversing ecological relationships (pollinator becoming transport) while maintaining flight physics.,Compositional,Creative Compositional,58
Draw a human being chased by a watermelon.,"A human running, with a watermelon chasing it like a monster.",Animating a fruit with self-propelled motion and intentional behavior while preserving its essential fruit characteristics.,Compositional,Creative Compositional,59
Draw a star singing.,"A huge star shimmering in the sky, opening its 'mouth' and emitting a melody.",Anthropomorphizing a celestial object with human-like features (mouth) and actions (singing).,Compositional,Creative Compositional,60
Draw a rocket eating ice cream.,"A rocket using its rocket nozzle to eat a huge ice cream, surrounded by stars and planets.",Combining mechanical object functionality (nozzle) with biological consumption actions (eating).,Compositional,Creative Compositional,61
Draw a football on the grass eating pizza.,"A football lying on the grass, with a slice of pizza beside it, 'biting' the pizza as if enjoying a meal.",Attributing animate consumption behavior to an inanimate sports object.,Compositional,Creative Compositional,62
Draw a dog grooming its owner.,A dog brushing a human’s hair with a tiny comb.,Reversing conventional human-pet roles while maintaining recognizable interaction logic.,Compositional,Creative Compositional,63
Draw a teacup riding a camel in the desert.,"A teacup sitting on a camel’s back, surrounded by vast desert, with the tea inside the cup gently rippling.",Harmonizing fragile domestic objects with large-scale biological/geographical elements.,Compositional,Creative Compositional,64
Draw an hourglass walking a dog.,"An hourglass on a park path, holding a dog leash with a small dog, with sand slowly flowing down from the top of the hourglass.",Simultaneously depicting temporal measurement mechanics and animate locomotion.,Compositional,Creative Compositional,65
Draw a camera gliding with a parachute.,"A camera soaring through the sky with a parachute, its lens pointing toward the ground, capturing magnificent scenery.","Combining inanimate technology (camera) with human adventure activity (parachuting), requiring animation of non-living object in aerial context.",Compositional,Creative Compositional,66
Draw a pillow hosting a marathon race.,"A pillow wearing running shoes, standing at the starting line, preparing for a marathon race with other pillows.","Anthropomorphizing soft furnishings for athletic competition, merging domestic objects with sports event logistics.",Compositional,Creative Compositional,67
Draw ants serving dinner to a human at their picnic.,Insect waiters carrying platters to a person seated on breadcrumb chairs.,"Inverting natural scale/power dynamics by having tiny creatures serve humans, requiring proportional adjustment and role reversal.",Compositional,Creative Compositional,68
Illustrate rivers fishing for fishermen with lures.,Waterways casting hook-and-line baits to catch wading humans.,"Reversing ecological relationships by making natural elements (rivers) active hunters of humans, subverting conventional fishing paradigms.",Compositional,Creative Compositional,69
Illustrate a watermelon carving a jack-o'-lantern face into a pumpkin.,Fruit-artist melon using knives to sculpt grinning features on pumpkin 'canvas'.,"Switching traditional roles in food carving (making carved object become carver), creating meta-layered artistic interaction.",Compositional,Creative Compositional,70
Draw plants watering a gardener with a hose.,Sentient flora hydrating a human gardener using gardening tools.,"Subverting caretaker relationships by reversing plant-human dynamics, requiring animation of vegetation with intentional agency.",Compositional,Creative Compositional,71
Draw trees photographing tourists with leaf-shaped cameras.,Animated trees snapping pictures of humans using cameras made of bark and foliage.,"Role reversal between nature and humans, requiring object transformation (cameras made from natural elements) and conceptual inversion of typical tourist photography scenarios.",Compositional,Creative Compositional,72
Draw a bicycle painting a self-portrait.,"A bicycle with a paintbrush held by its handlebars, painting a canvas of itself on an easel, its wheels spinning in creative motion.","Anthropomorphization of mechanical objects combined with meta-artistic elements, requiring integration of bicycle components into creative action while maintaining recognizable form.",Compositional,Creative Compositional,73
Draw a cloud making a snowman in the sky.,"A fluffy cloud using snowflakes to build a snowman, floating high above a snowy landscape.","Spatial paradox of constructing ground-based objects in aerial environment, requiring material reimagining (cloud manipulating its own precipitation as building blocks).",Compositional,Creative Compositional,74
Draw a cactus playing chess with a rabbit.,"A prickly cactus sitting across a chessboard from a rabbit, each making thoughtful moves with their pieces.","Interspecies interaction between flora and fauna in intellectual activity, requiring expression of strategic thinking through non-human features while maintaining game logic.",Compositional,Creative Compositional,75
Illustrate a pizza dancing with a fork and knife.,"A slice of pizza with arms and legs, twirling on a dance floor with a fork and knife as its partners.","Paradoxical animation of food items interacting with their utensils, requiring balance between recognizability and personification while maintaining edible characteristics.",Compositional,Creative Compositional,76
Draw a piano playing a symphony for a crowd of cats.,"A grand piano with its keys being played by invisible hands, while a group of cats listens intently in the audience.","Autonomous instrument performance combined with atypical audience composition, requiring expression of musical agency without human presence and species-specific audience engagement.",Compositional,Creative Compositional,77
Draw a spoon flying through space with an astronaut helmet.,"A shiny spoon equipped with an astronaut helmet, floating among stars, its handle reflecting distant galaxies.",Anthropomorphizing a utensil with space gear while maintaining metallic properties in a cosmic environment,Compositional,Creative Compositional,78
Draw a candle reading a book in a cozy library.,"A glowing candle on a table, surrounded by books, reading the pages with its flickering flame.","Balancing personification (reading action) with natural candle physics (stationary wax body, flickering flame)",Compositional,Creative Compositional,79
Draw a sandwich jumping rope with a pickle.,"A sandwich, its bread bouncing up and down, using a pickle as a jump rope in the middle of a picnic.",Coordinating food item dynamics - rigid pickle as flexible rope vs. soft sandwich maintaining structural integrity while jumping,Compositional,Creative Compositional,80
Draw a shoe playing chess with a sock.,"A sneaker and a sock sitting across from each other at a chessboard, with the shoe making a move while the sock looks on with a thoughtful expression.",Establishing strategic interaction between flexible fabric (sock) and rigid footwear (shoe) through posture/expressions,Compositional,Creative Compositional,81
Illustrate a cloud painting a rainbow.,"A fluffy cloud holding a paintbrush, carefully adding vibrant strokes of color to a rainbow arching across the sky.",Personifying weather phenomena while maintaining cloud texture and connecting painting action to natural rainbow formation,Compositional,Creative Compositional,82
Draw a book reading to a group of pencils.,"An open book with animated pages telling a story, while a group of pencils listens attentively, sitting in a circle.","Creating hierarchical anthropomorphism - book as active narrator vs pencils as passive audience, despite both being stationary objects",Compositional,Creative Compositional,83
Draw a spoon surfing on a bowl of soup.,"A silver spoon with a surfboard stance, riding the waves of soup, as the liquid swirls and splashes around it.","Combining utensil functionality with surfing dynamics in a liquid medium, requiring anthropomorphism and motion depiction.",Compositional,Creative Compositional,84
Illustrate a telephone giving a lecture to a group of laptops.,"A vintage telephone at a podium, delivering a speech, while several laptops take notes and listen intently.","Personifying communication devices across eras in an educational hierarchy, blending retro and modern tech roles.",Compositional,Creative Compositional,85
Draw a book launching a paper airplane.,"A book flinging a paper airplane made from its own pages into the air, as it sails across a library room.",Integrating static literary objects with dynamic action using self-referential materials (pages as airplane).,Compositional,Creative Compositional,86
Draw a bicycle racing against a snail.,"A fast-moving bicycle with a determined rider, zooming past a slow-moving snail on a race track.","Juxtaposing extreme speed differences in a competitive context, emphasizing ironic contrast through motion.",Compositional,Creative Compositional,87
Draw a lamp teaching yoga to a plant.,"A glowing lamp demonstrating yoga poses, while a small potted plant tries to follow along in a peaceful room.","Animating inanimate objects to perform mindful activities, merging light sources with botanical elements in harmony.",Compositional,Creative Compositional,88
Draw a cookie riding a skateboard down a hill.,"A round cookie wearing sunglasses, riding a skateboard with crumbs trailing behind as it zooms downhill.","Assigning human-like agency to food items in action sports, balancing structural integrity with dynamic movement.",Compositional,Creative Compositional,89
Illustrate a cloud taking a bubble bath.,"A fluffy cloud relaxing in a bathtub filled with bubbles, floating peacefully among the sky.","Juxtaposing a natural weather element (cloud) with human domestic activity (bathing), requiring imaginative anthropomorphism.",Compositional,Creative Compositional,90
Draw a bee riding a butterfly.,"A small bee perched on the back of a graceful butterfly, soaring through a colorful garden with wings fluttering in the breeze.",Creating a plausible hierarchical interaction between two distinct flying insects while maintaining their natural characteristics.,Compositional,Creative Compositional,91
Draw a butterfly riding a dragonfly.,"A delicate butterfly sitting atop a swift dragonfly, flying together over a peaceful pond surrounded by flowers.",Balancing scale differences and aerodynamics between two winged creatures in a cooperative flying composition.,Compositional,Creative Compositional,92
Draw a paper airplane sailing on a paper boat.,"A paper airplane gliding above a tiny paper boat floating gently on a calm sea, with soft waves rippling around them.",Simultaneously representing two paper craft objects in distinct elemental domains (air and water) within a unified scene.,Compositional,Creative Compositional,93
Draw a bamboo dragonfly chasing a dragonfly.,"A bamboo dragonfly buzzing energetically, trailing a real dragonfly across a field of tall grasses, both darting through the air in a playful chase.","Blending a man-made toy (bamboo dragonfly) with its living counterpart in dynamic motion, requiring material ambiguity.",Compositional,Creative Compositional,94
Draw a squirrel riding a flying acorn.,"A tiny squirrel gripping onto a flying acorn, soaring through the air with excitement, while leaves swirl around them.",Reversing natural roles by making the squirrel ride its typical food source (acorn) as a flying vehicle.,Compositional,Creative Compositional,95
Draw a flower riding a bee across a garden.,"A vibrant flower perched on the back of a busy bee, flying from one blossom to another across a beautiful garden filled with colorful petals.",Inverting ecological relationships by transforming the flower from a static resource into an active rider of its pollinator.,Compositional,Creative Compositional,96
Illustrate a rainbow chasing a cloud across the sky.,"A bright, colorful rainbow following a fluffy cloud as it drifts across a clear blue sky, casting light and color all around.",Animating atmospheric phenomena by giving agency to transient light refraction (rainbow pursuing cloud).,Compositional,Creative Compositional,97
Illustrate dinosaurs hatching chicken eggs.,"A group of dinosaurs carefully sitting around large eggs, with cracks appearing as they eagerly wait for the eggs to hatch, revealing baby chickens inside.",Bridging evolutionary timelines through paradoxical nurturing (prehistoric creatures caring for modern offspring).,Compositional,Creative Compositional,98
Illustrate shadows lighting campfires for humans.,Dark silhouettes gathering kindling to create light sources for people.,Contradicting physical properties by making darkness (shadows) generate light through anthropomorphism.,Compositional,Creative Compositional,99
Show a dog grooming its human at a salon.,A dog trimming a human’s hair with scissors and a comb.,Subverting human-animal hierarchies through role reversal in caregiving activities.,Compositional,Creative Compositional,100
