Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
Generate a navigational instrument containing a freely rotating magnetized needle.,Magnetic compass,"A magnetic compass contains a needle that is magnetized and able to rotate freely. This allows the compass to point towards magnetic north, making it a critical navigational tool.",Commonsense,Affordance,23
A two-wheeled vehicle propelled by foot pedals and steered with handlebars.,Bicycle,A bicycle is a two-wheeled vehicle powered by pedaling with the feet and steered using handlebars. This matches the description of a human-powered vehicle with these specific characteristics.,Commonsense,Affordance,24
A utensil featuring a shallow bowl at one end for conveying food to the mouth.,Spoon,"A spoon is a utensil that has a shallow bowl at the end, making it suitable for scooping and conveying food to the mouth. This directly fits the description given.",Commonsense,Affordance,25
A security mechanism that fastens an object and requires a specific tool to open.,Lock,"A lock is a mechanism used to secure an object, such as a door or a box, and often requires a specific tool (like a key) to open it.",Commonsense,Affordance,26
Optical frames with lenses worn on the face to enhance visual clarity.,Eyeglasses,"Eyeglasses are optical frames that contain lenses, specifically designed to be worn on the face to improve vision.",Commonsense,Affordance,27
An electric device that creates cylindrical cavities in walls for mounting objects.,A power drill,"A power drill is an electric tool used to bore cylindrical holes (cavities) into surfaces like walls, making it suitable for mounting objects.",Commonsense,Affordance,28
Generate eyewear with darkened lenses to reduce glare from reflective surfaces.,Sunglasses,"Sunglasses are eyewear with darkened lenses specifically designed to reduce glare from bright or reflective surfaces, such as the sun.",Commonsense,Affordance,29
A flat kitchen utensil with a wide blade for lifting fried eggs without breaking them.,A spatula,"A spatula is a flat kitchen utensil with a wide, flexible blade, ideal for lifting delicate items like fried eggs without breaking them.",Commonsense,Affordance,30
Generate a tool that removes spiral-cut metal seals from cylindrical food containers.,A can opener,"A can opener is specifically designed to remove metal seals from food containers, especially cylindrical ones, by cutting open the lid.",Commonsense,Affordance,31
Generate a retractable tool marked with incremental measurements for checking furniture dimensions.,A tape measure,"A tape measure is retractable, easy to carry, and has markings for measuring lengths, making it ideal for checking dimensions of furniture.",Commonsense,Affordance,32
A heat-resistant hand covering used when retrieving bakeware from high-temperature enclosures.,An oven mitt,"An oven mitt is designed to protect hands from heat when handling hot objects, particularly bakeware, from ovens or other high-temperature environments.",Commonsense,Affordance,33
Generate an electrical appliance that converts water droplets in hair to vapor after washing.,A hairdryer,"A hairdryer uses heated air to dry hair by evaporating the water droplets, making it the appropriate appliance for this task.",Commonsense,Affordance,34
An object used to temporarily bind thin sheets of material together without adhesive.,A paperclip,"A paperclip is designed to temporarily hold papers together without the use of glue or staples, making it perfect for this task.",Commonsense,Affordance,35
Generate a tool optimized for applying rotational force to hexagonal fasteners.,A wrench,"A wrench is specifically designed to apply rotational force to fasteners like bolts and nuts, especially those with hexagonal heads, which is exactly what the prompt describes.",Commonsense,Affordance,36
"Generate a flat tool with measurement markings, typically transparent, for marking straight lines on surfaces.",A ruler,"A ruler is a flat tool with measurement markings, and it is commonly used for marking straight lines on surfaces, fitting the description in the prompt.",Commonsense,Affordance,37
"Generate an object with a sharp point and wide head, used to temporarily display notices on vertical surfaces.",A thumbtack,"A thumbtack is a small object with a sharp point to puncture surfaces and a wide head to hold it in place, commonly used for pinning notices to vertical surfaces.",Commonsense,Affordance,38
A flexible sheet material employed to preserve freshness by covering food containers.,Plastic wrap,"Plastic wrap is a flexible sheet material that is used to cover food containers to preserve freshness, directly matching the description given in the prompt.",Commonsense,Affordance,39
An absorbent fabric-based item used to remove moisture from skin or surfaces after exposure to water.,A towel,"A towel is an absorbent fabric used to dry off moisture from skin or surfaces, making it the appropriate response to this prompt.",Commonsense,Affordance,40
"Generate a portable light source with a directional beam, powered by small cylindrical energy cells.",A flashlight,"A flashlight is a portable light source with a beam that can be directed, typically powered by small cylindrical energy cells like batteries.",Commonsense,Affordance,41
A rotating blade mechanism that tapers the tip of a graphite-based writing tool.,Pencil sharpener,"A pencil sharpener has a rotating blade mechanism specifically designed to shave the tip of a graphite-based writing tool, such as a pencil.",Commonsense,Affordance,42
A perforated container with an elongated spout for hydrating soil-bound vegetation.,Watering can,"A watering can is designed with a perforated container and an elongated spout to allow controlled watering of plants, especially those in soil.",Commonsense,Affordance,43
A bent metal piece used to keep sheets of paper together without permanent binding.,A paper clip,"A paper clip is a bent metal piece that holds sheets of paper together temporarily without any permanent binding, fitting the description.",Commonsense,Affordance,44
Transparent eyewear with elastic straps to block dust entry during construction work.,Safety goggles,Safety goggles are transparent eyewear designed with elastic straps to provide a secure fit and block dust or debris during construction or industrial work.,Commonsense,Affordance,45
A painting tool with a rotating cylinder head for uniform application on walls.,A paint roller,"A paint roller is specifically designed with a rotating cylinder to evenly distribute paint across surfaces, making it ideal for wall painting.",Commonsense,Affordance,46
"Generate an implement that leaves temporary marks on surfaces through friction, commonly used for preliminary sketches.",A pencil,"A pencil uses a graphite core to leave marks on paper through friction, making it a common tool for sketching and drawing.",Commonsense,Affordance,47
Generate an utensil with a concave end designed to lift and transfer semi-liquid substances to the mouth.,A spoon,"A spoon is designed with a concave bowl, perfect for scooping and transferring liquid or semi-liquid food to the mouth.",Commonsense,Affordance,48
An object featuring metal prongs that interface with wall receptacles to establish electrical connections.,A plug,"A plug typically has metal prongs that fit into wall sockets, providing the necessary electrical connection for devices.",Commonsense,Affordance,49
Generate a rounded fixture attached to doors that requires gripping and twisting to actuate opening mechanisms.,A doorknob,"A doorknob is a rounded fixture installed on doors, requiring a twisting motion to open or close the door.",Commonsense,Affordance,50
A slender pointed tool that creates pathways in fabric for threading fibers.,A needle,"A needle is a slender, pointed tool designed specifically for creating small holes in fabric, allowing fibers to be threaded through. This matches the description of creating pathways for threading fibers.",Commonsense,Affordance,51
A flexible measuring tool commonly found in sewing kits.,A measuring tape,A measuring tape is a flexible tool commonly used in sewing kits for taking measurements of fabric or body dimensions. Its flexibility makes it ideal for sewing purposes.,Commonsense,Affordance,52
A raised platform with perpendicular back support and armrests designed to sustain seated posture.,A chair,A chair is a common piece of furniture that provides support for sitting. The raised platform with back support and armrests described in the prompt aligns perfectly with the function of a chair.,Commonsense,Affordance,53
"An object placed on a fingertip to protect it while pushing small, thin fasteners through fabric.",Thimble,"A thimble is a small protective cap worn on the fingertip to prevent injury while sewing, specifically when pushing needles or pins through fabric.",Commonsense,Affordance,54
A device that creates airflow by spinning blades encased in a protective grill.,An electric fan,"An electric fan generates airflow through rotating blades, typically enclosed in a grill for safety. This matches the description of creating airflow with spinning blades.",Commonsense,Affordance,55
A kitchen tool with perforations for separating liquids from solids.,Colander,"Associates perforations with drainage, commonly used for pasta/vegetables.",Commonsense,Affordance,56
A portable light source using combustible material.,Torch,Distinguishes combustion-based light (torch) from electric alternatives (flashlight).,Commonsense,Affordance,57
A timekeeping instrument relying on granular flow between chambers.,Hourglass,Requires knowledge of historical timekeeping methods using sand.,Commonsense,Affordance,58
An object used to fasten pieces of fabric together temporarily before sewing.,Straight pin,"A straight pin is a thin, sharp object used in sewing to temporarily hold fabric pieces together before sewing them. It is specifically designed to serve this purpose, making it the appropriate answer.",Commonsense,Affordance,59
A cylindrical container with a mechanism to dispense a sticky substance for bonding materials.,Glue stick,"A glue stick is a cylindrical container with a twistable mechanism to dispense glue, which is sticky and used to bond materials together. This matches the description of a cylindrical container with a dispensing mechanism for sticky substances.",Commonsense,Affordance,60
"A flat surface coated to reflect light, enabling the viewing of one's own image.",A mirror,"A mirror is designed to reflect light, creating a surface where one can see their own reflection. This directly matches the prompt, making it the correct answer.",Commonsense,Affordance,61
"A flat, flexible strip worn around the waist to adjust the fit of garments.",Belt,"A belt is a flexible strip worn around the waist, typically used to secure clothing and adjust its fit. This is the most common object that fits this description.",Commonsense,Affordance,62
A handheld optical instrument used to magnify small text or details for closer inspection.,Magnifying glass,"A magnifying glass is a handheld optical instrument designed to enlarge small text or details, making it the perfect match for this description.",Commonsense,Affordance,63
A utensil with prongs intended to pierce and hold food items during consumption.,Fork,A fork is a common utensil with prongs that are specifically designed to pierce and hold food during eating.,Commonsense,Affordance,64
A device that displays colored lights to regulate movement at road intersections.,A traffic light,A traffic light uses colored lights to control the flow of vehicles and pedestrians at road intersections.,Commonsense,Affordance,65
A portable cylindrical object that discharges suppressant to halt combustion.,A fire extinguisher,"A fire extinguisher is specifically designed to be portable, cylindrical, and discharge a suppressant to put out fires.",Commonsense,Affordance,66
Protective gear worn on hands when handling hot kitchen items.,An oven mitt,An oven mitt is made from heat-resistant material and is worn to protect hands from burns when handling hot kitchen items.,Commonsense,Affordance,67
An object worn to shield the eyes from airborne particles during manual tasks.,Safety goggles,"Safety goggles are designed to protect the eyes from debris, dust, and particles during manual work or other hazardous activities.",Commonsense,Affordance,68
An item worn on the head to block sunlight during outdoor activities.,A hat,"A hat is commonly worn to block sunlight during outdoor activities, providing protection from the sun, which is the primary function described in the prompt.",Commonsense,Affordance,69
A kitchen appliance that rapidly boils water for beverages.,An electric kettle,"An electric kettle is specifically designed to quickly boil water, making it ideal for preparing beverages like tea or coffee, matching the description in the prompt.",Commonsense,Affordance,70
Generate an object typically used to securely fasten shoes onto feet.,Shoelaces,"Shoelaces are the standard item used to securely fasten shoes, ensuring a snug fit on the feet, as described in the prompt.",Commonsense,Affordance,71
A device that projects written text or images onto a flat surface for group viewing.,A projector,"A projector is the device used to display text or images onto a surface, such as a screen or wall, which aligns with the functionality described in the prompt.",Commonsense,Affordance,72
"An object that provides illumination when ignited, often used during power outages.",A candle,"A candle provides light when lit, which is especially useful during power outages, matching the description of the object's purpose in the prompt.",Commonsense,Affordance,73
Generate an object that measures time by casting a shadow based on the sun's position.,Sundial,"A sundial works by casting a shadow from a stick (gnomon) onto a marked surface, and the shadow changes based on the time of day, directly correlating with the sun's position.",Commonsense,Affordance,74
An item worn to block light from reaching the eyes during sleep.,Sleep mask,"A sleep mask is worn over the eyes to block out light, helping people sleep in a dark environment by preventing light from disturbing them.",Commonsense,Affordance,75
A hollow tube used to draw liquid upward through suction.,Straw,"A straw is a hollow tube through which liquid is drawn upward when suction is applied, making it the common object used for drinking liquids.",Commonsense,Affordance,76
A tool with a weighted blade for splitting wood through vertical impact.,Axe,"An axe has a heavy, sharp blade designed to split wood through forceful vertical impact, which makes it the appropriate tool for chopping or splitting wood.",Commonsense,Affordance,77
A perforated container designed to separate solids from liquids immediately after thermal food preparation.,A colander,"A colander is a perforated container used to strain liquids from solids after cooking, often used for draining pasta or rinsing vegetables.",Commonsense,Affordance,78
Generate a rotational food preparation tool that converts solid ingredients into fragmented particulate matter.,A pepper mill,"A pepper mill is a tool specifically designed to grind solid spices (like pepper) into smaller particles by rotating its mechanism, fitting the description of converting solid ingredients into fragmented particulate matter.",Commonsense,Affordance,79
"A tool with multiple parallel tines, primarily deployed in outdoor spaces to gather debris or modify soil texture.",A rake,"A rake is a tool with multiple parallel tines, typically used for gathering debris like leaves or modifying soil texture, making it the perfect match for the given description.",Commonsense,Affordance,80
An electronic component that converts electrical signals into audible sound waves through diaphragm vibration.,Speaker,"A speaker is an electronic device that converts electrical signals into sound by causing diaphragm vibration, which fits the description of converting electrical signals into audible sound.",Commonsense,Affordance,81
A fastener used to join two ends of a belt or strap securely.,A buckle,"A buckle is a fastener specifically designed to securely join two ends of a belt or strap, fitting the description of a tool used to fasten these items together.",Commonsense,Affordance,82
"A seal made from bark, commonly used to preserve beverages in bottles.",A cork,"A cork is traditionally used as a seal for bottles, particularly for preserving beverages, and it is often derived from bark, making it the right match for the description.",Commonsense,Affordance,83
An object that protects feet from cold surfaces while enabling stable movement.,Shoes,"Shoes are designed specifically to protect the feet from cold or rough surfaces, while also providing stability and support for movement.",Commonsense,Affordance,84
"A cylindrical holder that releases thin, segmented sheets when spun around its core.",Toilet paper roll,"A toilet paper roll is typically a cylindrical holder that dispenses paper in segmented sheets, which is unrolled as it spins around its core.",Commonsense,Affordance,85
A kitchen tool with interwoven metal loops for combining air into mixtures.,Whisk,"A whisk is a kitchen tool that uses interwoven metal loops to incorporate air into mixtures, especially in baking and cooking.",Commonsense,Affordance,86
Generate a weighted tool suspended from a string to ensure vertical alignment in construction.,Plumb bob,A plumb bob is a tool used in construction to ensure vertical alignment. It consists of a weighted object suspended from a string.,Commonsense,Affordance,87
Generate a handheld device with lenses mounted in a frame to correct focus for the eyes.,Eyeglasses,"Eyeglasses are handheld devices with lenses designed to correct focus and vision problems, typically worn in a frame over the eyes.",Commonsense,Affordance,88
"A small wind instrument that produces sound when air is forced through a mouthpiece, often used for signaling.",A whistle,"A whistle is a small, wind-operated instrument typically used for signaling or producing sound, fitting the description in the prompt.",Commonsense,Affordance,89
Generate an object designed for measuring human body temperature.,A thermometer,"A thermometer is specifically designed for measuring temperature, often used to measure human body temperature, which directly matches the prompt.",Commonsense,Affordance,90
A handheld tool that propels watercraft by pushing against the water.,An oar,"An oar is a tool used in a manual propulsion of a watercraft, fitting the description of a handheld tool used in the water.",Commonsense,Affordance,91
Generate a kitchen appliance with a heated flat base used to smooth fabric.,A clothes iron,"A clothes iron has a heated flat base used for smoothing fabric, which aligns with the description of the kitchen appliance.",Commonsense,Affordance,92
An object that secures hair in place by clasping strands between interlocking teeth.,Hair clip (barrette),"A hair clip (or barrette) works by clasping strands of hair between interlocking teeth, matching the description in the prompt.",Commonsense,Affordance,93
A rectangular abrasive block applied in circular motions to refine the cutting edge of blades.,Whetstone,"A whetstone is an abrasive block specifically designed for sharpening blades by rubbing them against its surface, typically in a circular motion.",Commonsense,Affordance,94
A cone-shaped acoustic device historically used to direct sound waves into the ear.,Ear trumpet,"An ear trumpet is a cone-shaped device used in the past to amplify sound and direct it into the ear, assisting people with hearing impairments.",Commonsense,Affordance,95
"A circular blade mounted on a handle, used to cut through flat, round food items.",Pizza cutter,"A pizza cutter consists of a circular blade mounted on a handle, designed to easily cut through pizza, a flat, round food item.",Commonsense,Affordance,96
A toothed implement for arranging filaments growing from the skin.,Comb,A comb is a toothed tool used to arrange and untangle hair or other filaments growing from the skin.,Commonsense,Affordance,97
A tool used to remove moisture from the body by rubbing against the skin.,A towel,A towel is a soft cloth used to absorb moisture from the body by rubbing or patting it after bathing or swimming.,Commonsense,Affordance,98
An adhesive device that attaches to smooth surfaces through vacuum pressure.,Suction cup,"A suction cup uses vacuum pressure to adhere to smooth surfaces, making it an appropriate description for a device that attaches in this way.",Commonsense,Affordance,99
A cylindrical kitchen device rolled over dough to create uniform thickness.,Rolling pin,"A rolling pin is a cylindrical tool commonly used in kitchens for rolling dough, which makes it the perfect match for the described object.",Commonsense,Affordance,100
A device that converts rotational force into vertical motion to elevate heavy loads.,A screw jack,"A screw jack is a mechanical device that converts rotational motion into vertical force, typically used to lift heavy loads, which directly aligns with the described functionality.",Commonsense,Affordance,101
