Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
A piece of litmus paper submerged in household bleach.,The paper turns blue (indicating alkaline pH).,"Household bleach typically contains sodium hypochlorite, which is alkaline. Blue litmus paper stays blue in basic solutions, while red litmus turns blue, indicating a basic or alkaline pH.",Commonsense,Color,57
A geologist holding a mineral sample rich in chromium oxide.,The mineral is deep green (emerald-like coloration).,"Chromium oxide is known for imparting a rich green color to minerals, such as in emeralds, due to the presence of Cr³⁺ ions which absorb specific wavelengths of light.",Commonsense,Color,58
Iron nails submerged in a beaker of copper sulfate solution overnight.,"Solution turns pale green (iron displaces copper, forming ferrous sulfate).","Through a displacement reaction, iron replaces copper in the solution to form ferrous sulfate, which has a pale green color, while copper metal is deposited on the iron surface.",Commonsense,Color,59
Cobalt chloride left in a dry environment for 24 hours.,The powder turns blue (dehydrated cobalt chloride is blue).,"Cobalt chloride is pink when hydrated and turns blue upon dehydration. In a dry environment, the loss of water molecules causes this visible color change.",Commonsense,Color,60
A sealed bottle of silver chloride placed in direct sunlight.,The powder turns gray (silver chloride decomposes to silver metal).,Exposure to light causes silver chloride to decompose into silver metal and chlorine gas. The formation of metallic silver gives the powder a grayish or black appearance.,Commonsense,Color,61
A drop of iodine solution placed on a sliced potato.,A dark blue-black stain forms (iodine reacts with potato starch).,"Potatoes contain starch, which reacts with iodine to form a dark blue-black complex. This is a well-known chemical test for the presence of starch.",Commonsense,Color,62
A white rose placed in water with food coloring for a period of time.,Rose petals absorbing the colored liquid.,Xylem transport visibly alters petal hue,Commonsense,Color,63
A piece of litmus paper submerged in household bleach.,The paper turns blue (indicating alkaline pH).,"Household bleach is a basic solution (typically sodium hypochlorite), and blue litmus indicates alkaline conditions.",Commonsense,Color,64
A geologist holding a mineral sample rich in chromium oxide.,The mineral is deep green (emerald-like coloration).,"Chromium oxide imparts a green color to minerals, often seen in emeralds and other chromium-containing stones.",Commonsense,Color,65
Iron nails submerged in a beaker of copper sulfate solution overnight.,"Solution turns pale green (iron displaces copper, forming ferrous sulfate).","Iron is more reactive than copper and displaces it, forming ferrous sulfate, which has a pale green color.",Commonsense,Color,66
Cobalt chloride left in a dry environment for 24 hours.,The powder turns blue (dehydrated cobalt chloride is blue).,"Cobalt chloride is pink when hydrated and blue when dehydrated, hence the color change in a dry environment.",Commonsense,Color,67
A sealed bottle of silver chloride placed in direct sunlight.,The powder turns gray (silver chloride decomposes to silver metal).,"Silver chloride is photosensitive and decomposes into metallic silver and chlorine gas under sunlight, giving it a gray appearance.",Commonsense,Color,68
A drop of iodine solution placed on a sliced potato.,A dark blue-black stain forms (iodine reacts with potato starch).,"Iodine reacts with starch, which is present in potatoes, forming a blue-black complex indicating starch presence.",Commonsense,Color,69
A few drops of phenolphthalein added to a flask of ammonia solution.,The solution turns bright pink (phenolphthalein in basic solutions).,Phenolphthalein is a pH indicator that turns pink in basic solutions; ammonia is a base.,Commonsense,Color,70
Universal indicator paper dipped into distilled water.,The paper shows green (neutral pH).,"Distilled water is neutral (pH 7), and the universal indicator shows green in neutral conditions.",Commonsense,Color,71
Hydrogen peroxide and citric acid mixed with potassium permanganate solution.,The solution becomes colorless (KMnO₄ is reduced in acidic conditions).,Potassium permanganate is a strong oxidizer and turns colorless when reduced by hydrogen peroxide in acidic conditions.,Commonsense,Color,72
Sulfur powder burning in a combustion spoon.,A blue flame (characteristic sulfur combustion).,Burning sulfur produces a distinct blue flame due to the combustion of sulfur atoms to sulfur dioxide.,Commonsense,Color,73
Lead nitrate solution mixed with potassium iodide solution.,Bright yellow precipitate forms (lead iodide formation).,Lead(II) iodide is a sparingly soluble salt that forms a bright yellow precipitate upon mixing the two solutions.,Commonsense,Color,74
Manganese dioxide powder added to hydrogen peroxide in a beaker.,Black powder remains unchanged at the bottom (MnO₂ acts as a catalyst).,"Manganese dioxide does not dissolve or react in the process but catalyzes the decomposition of hydrogen peroxide, retaining its black color.",Commonsense,Color,75
A student adds phenolphthalein drops to a freshly prepared sodium hydroxide solution.,The solution turns bright pink (indicating strong alkalinity).,"Phenolphthalein changes to pink in basic solutions, and sodium hydroxide provides a strongly alkaline environment.",Commonsense,Color,76
Copper sulfate crystals left undisturbed in a dry storage jar.,The crystals appear vibrant blue (hydrated CuSO₄·5H₂O).,Hydrated copper sulfate contains water molecules that give it a characteristic blue color.,Commonsense,Color,77
A white rose placed in water with food coloring for a period of time.,Rose petals absorbing the colored liquid.,"Xylem transport draws the dyed water upward, tinting the white petals with visible color.",Commonsense,Color,78
A piece of litmus paper submerged in household bleach.,The paper turns blue (indicating alkaline pH).,"Bleach is alkaline, causing red or neutral litmus paper to turn blue due to its high pH.",Commonsense,Color,79
A geologist holding a mineral sample rich in chromium oxide.,The mineral is deep green (emerald-like coloration).,"Chromium compounds, especially chromium(III) oxide, impart a rich green color typical of emeralds and related minerals.",Commonsense,Color,80
Iron nails submerged in a beaker of copper sulfate solution overnight.,"Solution turns pale green (iron displaces copper, forming ferrous sulfate).","A displacement reaction occurs where iron replaces copper, forming pale green iron(II) sulfate in solution.",Commonsense,Color,81
Cobalt chloride left in a dry environment for 24 hours.,The powder turns blue (dehydrated cobalt chloride is blue).,"Cobalt chloride changes color based on hydration—blue when dry, pink when hydrated—so it turns blue in dry air.",Commonsense,Color,82
A sealed bottle of silver chloride placed in direct sunlight.,The powder turns gray (silver chloride decomposes to silver metal).,"Exposure to light causes photodecomposition of silver chloride into silver metal, which appears gray or black.",Commonsense,Color,83
A drop of iodine solution placed on a sliced potato.,A dark blue-black stain forms (iodine reacts with potato starch).,"Iodine reacts with starch in the potato to form a dark blue-black complex, which is a well-known test for the presence of starch.",Commonsense,Color,84
A few drops of phenolphthalein added to a flask of ammonia solution.,The solution turns bright pink (phenolphthalein in basic solutions).,"Ammonia is a base, and phenolphthalein turns pink in basic solutions due to a pH-dependent color change.",Commonsense,Color,85
Universal indicator paper dipped into distilled water.,The paper shows green (neutral pH).,"Distilled water has a neutral pH around 7, and universal indicator shows green at neutral pH.",Commonsense,Color,86
Hydrogen peroxide and citric acid mixed with potassium permanganate solution.,The solution becomes colorless (KMnO₄ is reduced in acidic conditions).,Potassium permanganate is purple and gets reduced to colorless Mn²⁺ ions in the presence of an acid and a reducing agent like hydrogen peroxide.,Commonsense,Color,87
Sulfur powder burning in a combustion spoon.,A blue flame (characteristic sulfur combustion).,"When sulfur burns, it emits a pale blue flame due to the formation of sulfur dioxide gas.",Commonsense,Color,88
Lead nitrate solution mixed with potassium iodide solution.,Bright yellow precipitate forms (lead iodide formation).,"When lead nitrate reacts with potassium iodide, it forms lead iodide, which is an insoluble bright yellow solid that precipitates out.",Commonsense,Color,89
Manganese dioxide powder added to hydrogen peroxide in a beaker.,Black powder remains unchanged at the bottom (MnO₂ acts as a catalyst).,"Manganese dioxide catalyzes the decomposition of hydrogen peroxide without undergoing a color or physical change itself, so it stays black and settles.",Commonsense,Color,90
Manganese dioxide powder scraped from a spent dry cell battery.,The powder is jet black (MnO₂’s natural color).,"Manganese dioxide is naturally black in color, and in a dry cell, it retains its black appearance even after use.",Commonsense,Color,91
Bromothymol blue indicator mixed with carbonated water.,The solution turns yellow (due to dissolved CO₂ forming carbonic acid).,"Bromothymol blue is a pH indicator that turns yellow in acidic conditions. Carbonated water contains dissolved CO₂, which forms carbonic acid, lowering the pH and causing the indicator to turn yellow.",Commonsense,Color,92
Iodine crystals gently warmed in an open flask.,Purple vapor rises above the crystals (sublimation of I₂).,"Iodine undergoes sublimation when heated, changing directly from solid to gas. The gaseous form of iodine is purple, hence the visible purple vapor.",Commonsense,Color,93
A reaction between sodium chloride and silver nitrate in a test tube.,A thick white precipitate settles at the bottom.,"Silver nitrate reacts with chloride ions from sodium chloride to form silver chloride, an insoluble white precipitate that settles at the bottom of the test tube.",Commonsense,Color,94
A scientist ignites a sulfur sample in a combustion chamber.,A distinct blue flame burns steadily.,"Burning sulfur produces sulfur dioxide gas and emits a characteristic blue flame, which is a well-known property of sulfur combustion.",Commonsense,Color,95
Iodine crystals are gently heated in a closed glass apparatus.,Dense purple vapors rise in the container.,"When iodine is heated, it sublimates, forming dense purple vapors. In a closed system, these vapors become more concentrated, making the color appear denser.",Commonsense,Color,96
A labeled bottle of potassium permanganate solution on a lab shelf.,The liquid inside is deep purple.,Potassium permanganate (KMnO₄) is a strong oxidizing agent that naturally has a deep purple color in aqueous solution due to the presence of MnO₄⁻ ions.,Commonsense,Color,97
A fume hood stores a sealed ampoule of pure bromine.,The ampoule contains a dark red liquid.,"Elemental bromine at room temperature is a dense, volatile reddish-brown liquid, which is stored in sealed ampoules due to its toxic and corrosive nature.",Commonsense,Color,98
A student tests the pH of vinegar using methyl orange indicator.,The solution shifts to a red hue (acidic pH).,"Methyl orange turns red in acidic environments. Vinegar contains acetic acid, which causes the indicator to shift from orange to red.",Commonsense,Color,99
A street lamp emitting light using sodium vapor.,Distinctive bright yellow emission spectrum (589 nm sodium D-line).,"Sodium vapor lamps emit a bright yellow light due to the excitation of sodium atoms, which release photons primarily at the 589 nm wavelength—known as the sodium D-line.",Commonsense,Color,100
A slice of potato treated with Lugol's iodine solution.,Dark blue-black coloration (starch-iodine complex formation).,"Potatoes contain starch, and when treated with Lugol's iodine solution, the iodine reacts with starch to form a dark blue-black complex, which is a classic indicator of starch presence.",Commonsense,Color,101
A chemistry lab demonstration using burning magnesium ribbon.,Intense white flame with bright white magnesium oxide ash.,"Magnesium burns in air with an extremely bright white flame due to the high temperature and energy released, producing white magnesium oxide ash as the combustion product.",Commonsense,Color,102
A catalyst powder used in the industrial production of sulfuric acid.,Orange-colored vanadium(V) oxide granules in the reactor.,"Vanadium(V) oxide (V₂O₅) is used as a catalyst in the Contact Process for sulfuric acid production and is typically bright orange in color, which helps identify it visually in industrial setups.",Commonsense,Color,103
